Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4205758,Fruit and nuts - Orchard fruit - Olives,1024.1,,998.64,,101,Capital Region
4205758,Fruit and nuts - Orchard fruit - Olives,24604.38,*,23992.83,*,103,Central West
4205758,Fruit and nuts - Orchard fruit - Olives,547.57,**,533.96,**,104,Coffs Harbour - Grafton
4205758,Fruit and nuts - Orchard fruit - Olives,374.84,**,365.52,**,106,Hunter Valley exc Newcastle
4205758,Fruit and nuts - Orchard fruit - Olives,12383434.96,*,12075641.79,*,113,Riverina
4205758,Fruit and nuts - Orchard fruit - Olives,659.19,**,642.8,**,115,Sydney - Baulkham Hills and Hawkesbury
4205758,Fruit and nuts - Orchard fruit - Olives,7784.68,**,7591.19,**,123,Sydney - Outer South West
4205758,Fruit and nuts - Orchard fruit - Olives,31138.73,**,30364.77,**,124,Sydney - Outer West and Blue Mountains
4205758,Fruit and nuts - Orchard fruit - Olives,242.47,*,236.63,*,201,Ballarat
4205758,Fruit and nuts - Orchard fruit - Olives,13662683.46,,13333544.52,,202,Bendigo
4205758,Fruit and nuts - Orchard fruit - Olives,122904.37,**,119943.55,**,203,Geelong
4205758,Fruit and nuts - Orchard fruit - Olives,10135.17,**,9891.01,**,204,Hume
4205758,Fruit and nuts - Orchard fruit - Olives,135645.33,**,132377.58,**,205,Latrobe - Gippsland
4205758,Fruit and nuts - Orchard fruit - Olives,638359.26,**,622980.96,**,210,Melbourne - North West
4205758,Fruit and nuts - Orchard fruit - Olives,19054071.11,,18595051.71,,215,North West
4205758,Fruit and nuts - Orchard fruit - Olives,2285005.95,*,2229959.34,*,216,Shepparton
4205758,Fruit and nuts - Orchard fruit - Olives,5.16,,5.04,,217,Warrnambool and South West
4205758,Fruit and nuts - Orchard fruit - Olives,4717.75,,4609.03,,307,Darling Downs - Maranoa
4205758,Fruit and nuts - Orchard fruit - Olives,299.84,,292.93,,319,Wide Bay
4205758,Fruit and nuts - Orchard fruit - Olives,444665.72,**,433152.92,**,401,Adelaide - Central and Hills
4205758,Fruit and nuts - Orchard fruit - Olives,117741.16,**,114692.73,**,402,Adelaide - North
4205758,Fruit and nuts - Orchard fruit - Olives,200537.89,**,195345.78,**,403,Adelaide - South
4205758,Fruit and nuts - Orchard fruit - Olives,616592.19,**,600628.05,**,405,Barossa - Yorke - Mid North
4205758,Fruit and nuts - Orchard fruit - Olives,5047508.92,^,4916824.28,^,407,South Australia - South East
4205758,Fruit and nuts - Orchard fruit - Olives,519630.29,**,506900.01,**,501,Bunbury
4205758,Fruit and nuts - Orchard fruit - Olives,8885781.87,,8668091.64,,509,Western Australia - Wheat Belt
4205758,Fruit and nuts - Orchard fruit - Olives,3114.04,,3037.75,,511,Western Australia - Outback (South)
4205758,Fruit and nuts - Orchard fruit - Olives,10501.5,**,10244.23,**,601,Hobart
4205758,Fruit and nuts - Orchard fruit - Olives,4801.62,**,4683.98,**,602,Launceston and North East
4205758,Fruit and nuts - Orchard fruit - Olives,83670.29,*,81620.48,*,603,South East
