Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),185270.68,**,155773.49,**,103,Central West
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),135322.18,**,113777.36,**,113,Riverina
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),445.55,**,374.62,**,114,Southern Highlands and Shoalhaven
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),2653.39,**,2230.94,**,123,Sydney - Outer South West
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),137953.21,^,121615.05,^,202,Bendigo
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),8075.14,**,7118.78,**,203,Geelong
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),40461.75,*,35669.75,*,204,Hume
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),794.99,*,700.84,*,205,Latrobe - Gippsland
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),1471277.49,*,1297030.24,*,209,Melbourne - North East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),1206852.46,^,1063921.76,^,211,Melbourne - Outer East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),97063.05,**,85567.61,**,212,Melbourne - South East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),22683.86,**,19997.35,**,214,Mornington Peninsula
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),88.99,*,78.45,*,215,North West
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),69016090.94,^,60842334.1,^,216,Shepparton
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),296107.76,^,249777.83,^,307,Darling Downs - Maranoa
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),8923092.83,^,7682851.1,^,401,Adelaide - Central and Hills
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),1186202.86,*,1021329.72,*,403,Adelaide - South
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),92174.05,**,79362.56,**,405,Barossa - Yorke - Mid North
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),63890.03,*,55009.8,*,407,South Australia - South East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),5582377.03,,4825029.86,,501,Bunbury
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),1618353.97,*,1398795.93,*,506,Perth - South East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),218.71,*,189.04,*,509,Western Australia - Wheat Belt
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),888120.84,*,760917.31,*,602,Launceston and North East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),122566.48,**,105011.57,**,603,South East
4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),261838.72,^,224336.16,^,604,West and North West
