Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4204358,Fruit and nuts - Stone fruit - Cherries,9222675.31,^,8293381.36,^,101,Capital Region
4204358,Fruit and nuts - Stone fruit - Cherries,8706208.65,*,7828954.84,*,103,Central West
4204358,Fruit and nuts - Stone fruit - Cherries,51617.52,**,46416.44,**,109,Murray
4204358,Fruit and nuts - Stone fruit - Cherries,325692.47,*,292875.09,*,113,Riverina
4204358,Fruit and nuts - Stone fruit - Cherries,53425.84,**,48042.55,**,115,Sydney - Baulkham Hills and Hawkesbury
4204358,Fruit and nuts - Stone fruit - Cherries,56213.52,*,50742.74,*,202,Bendigo
4204358,Fruit and nuts - Stone fruit - Cherries,41977350.09,^,37892058.17,^,204,Hume
4204358,Fruit and nuts - Stone fruit - Cherries,6748.73,*,6091.93,*,205,Latrobe - Gippsland
4204358,Fruit and nuts - Stone fruit - Cherries,6946543.2,*,6270496.31,*,211,Melbourne - Outer East
4204358,Fruit and nuts - Stone fruit - Cherries,225741.76,**,203772.27,**,213,Melbourne - West
4204358,Fruit and nuts - Stone fruit - Cherries,778373.42,**,702621.08,**,214,Mornington Peninsula
4204358,Fruit and nuts - Stone fruit - Cherries,26150541.37,,23605535.67,,216,Shepparton
4204358,Fruit and nuts - Stone fruit - Cherries,30623.52,*,26493.71,*,307,Darling Downs - Maranoa
4204358,Fruit and nuts - Stone fruit - Cherries,8803620.52,,7826730.13,,401,Adelaide - Central and Hills
4204358,Fruit and nuts - Stone fruit - Cherries,3269.23,,2906.47,,405,Barossa - Yorke - Mid North
4204358,Fruit and nuts - Stone fruit - Cherries,121616.96,*,108121.78,*,407,South Australia - South East
4204358,Fruit and nuts - Stone fruit - Cherries,768124.21,*,672228.5,*,501,Bunbury
4204358,Fruit and nuts - Stone fruit - Cherries,17717.3,**,15505.4,**,506,Perth - South East
4204358,Fruit and nuts - Stone fruit - Cherries,3050.25,*,2669.44,*,509,Western Australia - Wheat Belt
4204358,Fruit and nuts - Stone fruit - Cherries,4067475.58,*,3777115.36,*,601,Hobart
4204358,Fruit and nuts - Stone fruit - Cherries,4842003.49,*,4496352.93,*,602,Launceston and North East
4204358,Fruit and nuts - Stone fruit - Cherries,57357496.65,,53262982.69,,603,South East
4204358,Fruit and nuts - Stone fruit - Cherries,3372458.76,^,3131712.91,^,604,West and North West
4204358,Fruit and nuts - Stone fruit - Cherries,136986.61,,123183.59,,801,Australian Capital Territory
