Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4205558,Fruit and nuts - Stone fruit - Nectarines,518661.35,*,448765.45,*,101,Capital Region
4205558,Fruit and nuts - Stone fruit - Nectarines,97725.65,*,84555.93,*,102,Central Coast
4205558,Fruit and nuts - Stone fruit - Nectarines,292432.89,**,253024.01,**,103,Central West
4205558,Fruit and nuts - Stone fruit - Nectarines,3670950.53,,3176245.42,,109,Murray
4205558,Fruit and nuts - Stone fruit - Nectarines,138462.67,**,119803.14,**,112,Richmond - Tweed
4205558,Fruit and nuts - Stone fruit - Nectarines,1247389.86,**,1079288.94,**,115,Sydney - Baulkham Hills and Hawkesbury
4205558,Fruit and nuts - Stone fruit - Nectarines,216456.07,**,187285.99,**,123,Sydney - Outer South West
4205558,Fruit and nuts - Stone fruit - Nectarines,8032.94,*,6897.36,*,202,Bendigo
4205558,Fruit and nuts - Stone fruit - Nectarines,90486.58,*,77694.94,*,204,Hume
4205558,Fruit and nuts - Stone fruit - Nectarines,2430.28,*,2086.72,*,205,Latrobe - Gippsland
4205558,Fruit and nuts - Stone fruit - Nectarines,16501.51,**,14168.77,**,213,Melbourne - West
4205558,Fruit and nuts - Stone fruit - Nectarines,868.5,**,745.72,**,214,Mornington Peninsula
4205558,Fruit and nuts - Stone fruit - Nectarines,66929520.23,,57468026.08,,215,North West
4205558,Fruit and nuts - Stone fruit - Nectarines,19106111.97,^,16405175.73,^,216,Shepparton
4205558,Fruit and nuts - Stone fruit - Nectarines,993759.45,^,818399.68,^,307,Darling Downs - Maranoa
4205558,Fruit and nuts - Stone fruit - Nectarines,13724.63,*,11302.77,*,313,Moreton Bay - North
4205558,Fruit and nuts - Stone fruit - Nectarines,132541.76,*,109153.31,*,317,Toowoomba
4205558,Fruit and nuts - Stone fruit - Nectarines,410206.66,^,337821.19,^,319,Wide Bay
4205558,Fruit and nuts - Stone fruit - Nectarines,19378.87,*,16482.61,*,401,Adelaide - Central and Hills
4205558,Fruit and nuts - Stone fruit - Nectarines,793.33,**,674.76,**,402,Adelaide - North
4205558,Fruit and nuts - Stone fruit - Nectarines,8494.35,^,7224.83,^,405,Barossa - Yorke - Mid North
4205558,Fruit and nuts - Stone fruit - Nectarines,9203948.45,*,7828376.36,*,407,South Australia - South East
4205558,Fruit and nuts - Stone fruit - Nectarines,8612970.71,^,7301037.21,^,501,Bunbury
4205558,Fruit and nuts - Stone fruit - Nectarines,8294356.6,*,7030954.61,*,506,Perth - South East
4205558,Fruit and nuts - Stone fruit - Nectarines,420118.06,,356125.4,,509,Western Australia - Wheat Belt
