Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3308058,Hay - Cereal cut for hay,1468251.26,*,1468251.26,*,101,Capital Region
3308058,Hay - Cereal cut for hay,8545364.65,^,8545364.65,^,103,Central West
3308058,Hay - Cereal cut for hay,438965.03,**,438965.03,**,104,Coffs Harbour - Grafton
3308058,Hay - Cereal cut for hay,4320211.95,*,4320211.95,*,105,Far West and Orana
3308058,Hay - Cereal cut for hay,445642,**,445642,**,106,Hunter Valley exc Newcastle
3308058,Hay - Cereal cut for hay,20349604.08,^,20349604.08,^,109,Murray
3308058,Hay - Cereal cut for hay,8968497.7,^,8968497.7,^,110,New England and North West
3308058,Hay - Cereal cut for hay,8670209.73,^,8670209.73,^,113,Riverina
3308058,Hay - Cereal cut for hay,21041.39,,21041.39,,114,Southern Highlands and Shoalhaven
3308058,Hay - Cereal cut for hay,85147.19,**,85147.19,**,115,Sydney - Baulkham Hills and Hawkesbury
3308058,Hay - Cereal cut for hay,18377.68,**,18377.68,**,124,Sydney - Outer West and Blue Mountains
3308058,Hay - Cereal cut for hay,6124187.45,*,6124187.45,*,201,Ballarat
3308058,Hay - Cereal cut for hay,20934148.2,*,20934148.2,*,202,Bendigo
3308058,Hay - Cereal cut for hay,671661.22,**,671661.22,**,203,Geelong
3308058,Hay - Cereal cut for hay,2966284.98,*,2966284.98,*,204,Hume
3308058,Hay - Cereal cut for hay,872202.42,**,872202.42,**,205,Latrobe - Gippsland
3308058,Hay - Cereal cut for hay,21011.44,**,21011.44,**,209,Melbourne - North East
3308058,Hay - Cereal cut for hay,62705313.27,^,62705313.27,^,215,North West
3308058,Hay - Cereal cut for hay,33044405.67,^,33044405.67,^,216,Shepparton
3308058,Hay - Cereal cut for hay,3803164.58,^,3803164.58,^,217,Warrnambool and South West
3308058,Hay - Cereal cut for hay,,,,,306,Cairns
3308058,Hay - Cereal cut for hay,,,,,307,Darling Downs - Maranoa
3308058,Hay - Cereal cut for hay,2659127.76,^,2659127.76,^,308,Central Queensland
3308058,Hay - Cereal cut for hay,1061401.62,*,1061401.62,*,310,Ipswich
3308058,Hay - Cereal cut for hay,66290.93,**,66290.93,**,313,Moreton Bay - North
3308058,Hay - Cereal cut for hay,61831.75,,61831.75,,315,Queensland - Outback
3308058,Hay - Cereal cut for hay,56027.23,**,56027.23,**,316,Sunshine Coast
3308058,Hay - Cereal cut for hay,138634.94,*,138634.94,*,317,Toowoomba
3308058,Hay - Cereal cut for hay,,,,,318,Townsville
3308058,Hay - Cereal cut for hay,2293968.18,*,2293968.18,*,319,Wide Bay
3308058,Hay - Cereal cut for hay,5274888.22,**,5274888.22,**,401,Adelaide - Central and Hills
3308058,Hay - Cereal cut for hay,127501.77,*,127501.77,*,402,Adelaide - North
3308058,Hay - Cereal cut for hay,95175413.52,^,95175413.52,^,405,Barossa - Yorke - Mid North
3308058,Hay - Cereal cut for hay,5642283.58,^,5642283.58,^,406,South Australia - Outback
3308058,Hay - Cereal cut for hay,35675781.7,^,35675781.7,^,407,South Australia - South East
3308058,Hay - Cereal cut for hay,5688213.23,*,5688213.23,*,501,Bunbury
3308058,Hay - Cereal cut for hay,119836.93,^,119836.93,^,502,Mandurah
3308058,Hay - Cereal cut for hay,69875.26,**,69875.26,**,504,Perth - North East
3308058,Hay - Cereal cut for hay,139421.63,**,139421.63,**,506,Perth - South East
3308058,Hay - Cereal cut for hay,209182183.8,^,209182183.8,^,509,Western Australia - Wheat Belt
3308058,Hay - Cereal cut for hay,11519245.12,^,11519245.12,^,511,Western Australia - Outback (South)
3308058,Hay - Cereal cut for hay,13016.51,*,13016.51,*,601,Hobart
3308058,Hay - Cereal cut for hay,543362.77,^,543362.77,^,602,Launceston and North East
3308058,Hay - Cereal cut for hay,92823.27,**,92823.27,**,603,South East
3308058,Hay - Cereal cut for hay,63901.39,,63901.39,,604,West and North West
