Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3307859,Hay - Total,18221770.25,*,18221770.25,*,101,Capital Region
3307859,Hay - Total,38120660.85,^,38120660.85,^,103,Central West
3307859,Hay - Total,872248.42,**,872248.42,**,104,Coffs Harbour - Grafton
3307859,Hay - Total,7378939.23,*,7378939.23,*,105,Far West and Orana
3307859,Hay - Total,3274156.24,*,3274156.24,*,106,Hunter Valley exc Newcastle
3307859,Hay - Total,2701.58,**,2701.58,**,107,Illawarra
3307859,Hay - Total,3820854.85,**,3820854.85,**,108,Mid North Coast
3307859,Hay - Total,51423456.78,^,51423456.78,^,109,Murray
3307859,Hay - Total,18695473.3,^,18695473.3,^,110,New England and North West
3307859,Hay - Total,3798517.96,**,3798517.96,**,112,Richmond - Tweed
3307859,Hay - Total,27630545.56,^,27630545.56,^,113,Riverina
3307859,Hay - Total,1194242.88,**,1194242.88,**,114,Southern Highlands and Shoalhaven
3307859,Hay - Total,364797.34,**,364797.34,**,115,Sydney - Baulkham Hills and Hawkesbury
3307859,Hay - Total,3649.69,*,3649.69,*,116,Sydney - Blacktown
3307859,Hay - Total,38960.39,*,38960.39,*,123,Sydney - Outer South West
3307859,Hay - Total,18377.68,**,18377.68,**,124,Sydney - Outer West and Blue Mountains
3307859,Hay - Total,261814.23,**,261814.23,**,127,Sydney - South West
3307859,Hay - Total,21053414.2,*,21053414.2,*,201,Ballarat
3307859,Hay - Total,30094023.27,^,30094023.27,^,202,Bendigo
3307859,Hay - Total,3398650.68,*,3398650.68,*,203,Geelong
3307859,Hay - Total,20360723.08,^,20360723.08,^,204,Hume
3307859,Hay - Total,26261368.51,^,26261368.51,^,205,Latrobe - Gippsland
3307859,Hay - Total,325640.84,*,325640.84,*,209,Melbourne - North East
3307859,Hay - Total,446928.21,*,446928.21,*,210,Melbourne - North West
3307859,Hay - Total,386759.23,**,386759.23,**,211,Melbourne - Outer East
3307859,Hay - Total,3583371.95,*,3583371.95,*,212,Melbourne - South East
3307859,Hay - Total,9190.66,,9190.66,,213,Melbourne - West
3307859,Hay - Total,394136.9,**,394136.9,**,214,Mornington Peninsula
3307859,Hay - Total,116805047.2,^,116805047.2,^,215,North West
3307859,Hay - Total,82773413.3,^,82773413.3,^,216,Shepparton
3307859,Hay - Total,64008439.91,^,64008439.91,^,217,Warrnambool and South West
3307859,Hay - Total,37853.44,,37853.44,,301,Brisbane - East
3307859,Hay - Total,87735.33,,87735.33,,305,Brisbane Inner City
3307859,Hay - Total,2948570.75,*,2948570.75,*,306,Cairns
3307859,Hay - Total,28986464.87,^,28986464.87,^,307,Darling Downs - Maranoa
3307859,Hay - Total,18186194.5,^,18186194.5,^,308,Central Queensland
3307859,Hay - Total,12505592.36,^,12505592.36,^,310,Ipswich
3307859,Hay - Total,1413402.82,*,1413402.82,*,311,Logan - Beaudesert
3307859,Hay - Total,2424869.12,*,2424869.12,*,312,Mackay - Isaac - Whitsunday
3307859,Hay - Total,1515987.03,**,1515987.03,**,313,Moreton Bay - North
3307859,Hay - Total,8866864.11,^,8866864.11,^,315,Queensland - Outback
3307859,Hay - Total,195241.73,**,195241.73,**,316,Sunshine Coast
3307859,Hay - Total,3761307.33,*,3761307.33,*,317,Toowoomba
3307859,Hay - Total,825989.2,*,825989.2,*,318,Townsville
3307859,Hay - Total,12457051.7,^,12457051.7,^,319,Wide Bay
3307859,Hay - Total,6731531.1,**,6731531.1,**,401,Adelaide - Central and Hills
3307859,Hay - Total,,,,,402,Adelaide - North
3307859,Hay - Total,,,,,403,Adelaide - South
3307859,Hay - Total,,,,,405,Barossa - Yorke - Mid North
3307859,Hay - Total,,,,,406,South Australia - Outback
3307859,Hay - Total,81652824.09,,81652824.09,,407,South Australia - South East
3307859,Hay - Total,49162390.49,*,49162390.49,*,501,Bunbury
3307859,Hay - Total,1892322.69,*,1892322.69,*,502,Mandurah
3307859,Hay - Total,83882.91,**,83882.91,**,504,Perth - North East
3307859,Hay - Total,261053.7,*,261053.7,*,506,Perth - South East
3307859,Hay - Total,219836623.2,^,219836623.2,^,509,Western Australia - Wheat Belt
3307859,Hay - Total,2111341.83,^,2111341.83,^,510,Western Australia - Outback (North)
3307859,Hay - Total,13164316.1,^,13164316.1,^,511,Western Australia - Outback (South)
3307859,Hay - Total,532250.37,*,532250.37,*,601,Hobart
3307859,Hay - Total,19396315.31,^,19396315.31,^,602,Launceston and North East
3307859,Hay - Total,2675571,^,2675571,^,603,South East
3307859,Hay - Total,13161522.82,^,13161522.82,^,604,West and North West
3307859,Hay - Total,,,,,701,Darwin
3307859,Hay - Total,,,,,702,Northern Territory - Outback
3307859,Hay - Total,37324.28,^,37324.28,^,801,Australian Capital Territory
