Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
9200159,Livestock Products - Wool,232022433.5,,222725381.2,,101,Capital Region
9200159,Livestock Products - Wool,7693.82,^,7385.53,^,102,Central Coast
9200159,Livestock Products - Wool,280801636,,269550019.3,,103,Central West
9200159,Livestock Products - Wool,248151000.5,,238207682.5,,105,Far West and Orana
9200159,Livestock Products - Wool,6851564.31,*,6577024.69,*,106,Hunter Valley exc Newcastle
9200159,Livestock Products - Wool,15901.71,**,15264.53,**,108,Mid North Coast
9200159,Livestock Products - Wool,202075420.2,,193978333.6,,109,Murray
9200159,Livestock Products - Wool,134320181.5,,128938022,,110,New England and North West
9200159,Livestock Products - Wool,75094.06,*,72085.07,*,112,Richmond - Tweed
9200159,Livestock Products - Wool,200390148,,192360589.6,,113,Riverina
9200159,Livestock Products - Wool,1498593.03,**,1438544.97,**,114,Southern Highlands and Shoalhaven
9200159,Livestock Products - Wool,8057.21,**,7734.36,**,115,Sydney - Baulkham Hills and Hawkesbury
9200159,Livestock Products - Wool,17830.53,*,17116.07,*,123,Sydney - Outer South West
9200159,Livestock Products - Wool,1709.06,,1640.58,,124,Sydney - Outer West and Blue Mountains
9200159,Livestock Products - Wool,6002.46,**,5761.94,**,127,Sydney - South West
9200159,Livestock Products - Wool,108121489.5,^,105574362.9,^,201,Ballarat
9200159,Livestock Products - Wool,137363991.1,^,134127969.5,^,202,Bendigo
9200159,Livestock Products - Wool,67209278.65,*,65625962.11,*,203,Geelong
9200159,Livestock Products - Wool,144393067.9,^,140991455.2,^,204,Hume
9200159,Livestock Products - Wool,59350466.31,^,57952287.71,^,205,Latrobe - Gippsland
9200159,Livestock Products - Wool,26078.12,**,25463.77,**,208,Melbourne - Inner South
9200159,Livestock Products - Wool,1288506.1,**,1258151.47,**,209,Melbourne - North East
9200159,Livestock Products - Wool,4160175.93,^,4062170.49,^,210,Melbourne - North West
9200159,Livestock Products - Wool,7482.43,*,7306.16,*,211,Melbourne - Outer East
9200159,Livestock Products - Wool,9029.46,*,8816.74,*,212,Melbourne - South East
9200159,Livestock Products - Wool,882381.86,**,861594.71,**,213,Melbourne - West
9200159,Livestock Products - Wool,53733.19,*,52467.35,*,214,Mornington Peninsula
9200159,Livestock Products - Wool,436059010.5,,425786330,,215,North West
9200159,Livestock Products - Wool,49141269.53,^,47983599.24,^,216,Shepparton
9200159,Livestock Products - Wool,386438812.7,,377335085.1,,217,Warrnambool and South West
9200159,Livestock Products - Wool,45476505.39,^,43761600.88,^,307,Darling Downs - Maranoa
9200159,Livestock Products - Wool,73116.12,**,70358.94,**,308,Central Queensland
9200159,Livestock Products - Wool,20028.28,**,19273.02,**,309,Gold Coast
9200159,Livestock Products - Wool,4240.73,,4080.81,,310,Ipswich
9200159,Livestock Products - Wool,6067.24,*,5838.45,*,312,Mackay - Isaac - Whitsunday
9200159,Livestock Products - Wool,2514.81,*,2419.97,*,313,Moreton Bay - North
9200159,Livestock Products - Wool,52482379.47,,50503285.68,,315,Queensland - Outback
9200159,Livestock Products - Wool,123831.06,**,119161.43,**,318,Townsville
9200159,Livestock Products - Wool,88671.04,**,85327.28,**,319,Wide Bay
9200159,Livestock Products - Wool,3992629.22,*,3855043.72,*,401,Adelaide - Central and Hills
9200159,Livestock Products - Wool,1080612.41,**,1043374.64,**,402,Adelaide - North
9200159,Livestock Products - Wool,1287440.11,**,1243075.09,**,403,Adelaide - South
9200159,Livestock Products - Wool,145379375.4,,140369620.6,,405,Barossa - Yorke - Mid North
9200159,Livestock Products - Wool,127277522.9,,122891555.6,,406,South Australia - Outback
9200159,Livestock Products - Wool,289978305,,279985689.3,,407,South Australia - South East
9200159,Livestock Products - Wool,61299859.09,^,59361775.43,^,501,Bunbury
9200159,Livestock Products - Wool,492067.07,**,476509.66,**,502,Mandurah
9200159,Livestock Products - Wool,391506.22,**,379128.18,**,504,Perth - North East
9200159,Livestock Products - Wool,183446.24,^,177646.32,^,506,Perth - South East
9200159,Livestock Products - Wool,772225877.7,,747810840.2,,509,Western Australia - Wheat Belt
9200159,Livestock Products - Wool,594949.27,,576139.09,,510,Western Australia - Outback (North)
9200159,Livestock Products - Wool,158940134.8,^,153915012.6,^,511,Western Australia - Outback (South)
9200159,Livestock Products - Wool,3368601.03,^,3277755.36,^,601,Hobart
9200159,Livestock Products - Wool,57459166.82,,55909587.03,,602,Launceston and North East
9200159,Livestock Products - Wool,52110602.99,,50705265.23,,603,South East
9200159,Livestock Products - Wool,3686372.05,^,3586956.62,^,604,West and North West
9200159,Livestock Products - Wool,1248384.87,*,1220771.87,*,801,Australian Capital Territory
