Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
9200348,Livestock products - Eggs,18463277.91,^,15812033.67,^,101,Capital Region
9200348,Livestock products - Eggs,,,,,102,Central Coast
9200348,Livestock products - Eggs,60259565.47,,51606561,,103,Central West
9200348,Livestock products - Eggs,64294.92,**,55062.45,**,104,Coffs Harbour - Grafton
9200348,Livestock products - Eggs,25522100.69,^,21857241.02,^,106,Hunter Valley exc Newcastle
9200348,Livestock products - Eggs,35964152.58,,30799860.9,,108,Mid North Coast
9200348,Livestock products - Eggs,4750042.06,,4067957.24,,109,Murray
9200348,Livestock products - Eggs,,,,,110,New England and North West
9200348,Livestock products - Eggs,5451269.95,*,4668491.93,*,111,Newcastle and Lake Macquarie
9200348,Livestock products - Eggs,82002,*,70226.87,*,112,Richmond - Tweed
9200348,Livestock products - Eggs,473547.13,*,405547.88,*,113,Riverina
9200348,Livestock products - Eggs,546993.14,**,468447.37,**,114,Southern Highlands and Shoalhaven
9200348,Livestock products - Eggs,8738542.29,,7483726.65,,115,Sydney - Baulkham Hills and Hawkesbury
9200348,Livestock products - Eggs,4708159.73,^,4032089.02,^,123,Sydney - Outer South West
9200348,Livestock products - Eggs,33713120.13,,28872066.65,,124,Sydney - Outer West and Blue Mountains
9200348,Livestock products - Eggs,16886105.06,*,14461335.79,*,127,Sydney - South West
9200348,Livestock products - Eggs,2875013.23,**,2476679.85,**,201,Ballarat
9200348,Livestock products - Eggs,19093292.91,,16447915.24,,202,Bendigo
9200348,Livestock products - Eggs,39375911.79,,33920375.21,,203,Geelong
9200348,Livestock products - Eggs,40614809.33,,34987623.37,,204,Hume
9200348,Livestock products - Eggs,21602100.56,,18609127.33,,205,Latrobe - Gippsland
9200348,Livestock products - Eggs,25060335.67,^,21588223.62,^,209,Melbourne - North East
9200348,Livestock products - Eggs,1937914.56,**,1669416.3,**,210,Melbourne - North West
9200348,Livestock products - Eggs,397038.39,**,342028.68,**,211,Melbourne - Outer East
9200348,Livestock products - Eggs,34173781.68,^,29439000.76,^,212,Melbourne - South East
9200348,Livestock products - Eggs,2242741.58,**,1932009.51,**,213,Melbourne - West
9200348,Livestock products - Eggs,8544796.37,**,7360913.97,**,214,Mornington Peninsula
9200348,Livestock products - Eggs,8887415.1,**,7656062.84,**,215,North West
9200348,Livestock products - Eggs,765681.7,**,659596.42,**,217,Warrnambool and South West
9200348,Livestock products - Eggs,421626.66,*,407497.84,*,301,Brisbane - East
9200348,Livestock products - Eggs,512979.1,*,495789.03,*,302,Brisbane - North
9200348,Livestock products - Eggs,207988.84,,201019.08,,306,Cairns
9200348,Livestock products - Eggs,199689889.6,,192998228.2,,307,Darling Downs - Maranoa
9200348,Livestock products - Eggs,2843169.09,*,2747893.74,*,309,Gold Coast
9200348,Livestock products - Eggs,12428593.97,,12012108.48,,313,Moreton Bay - North
9200348,Livestock products - Eggs,602290.96,*,582108.03,*,317,Toowoomba
9200348,Livestock products - Eggs,8064788.66,,7794535.44,,318,Townsville
9200348,Livestock products - Eggs,189538.69,^,164176.76,^,401,Adelaide - Central and Hills
9200348,Livestock products - Eggs,2944894.32,,2550841.78,,402,Adelaide - North
9200348,Livestock products - Eggs,5976279.26,^,5176600.98,^,403,Adelaide - South
9200348,Livestock products - Eggs,30099975.4,,26072336.2,,405,Barossa - Yorke - Mid North
9200348,Livestock products - Eggs,10388291.61,,8998247.6,,407,South Australia - South East
9200348,Livestock products - Eggs,2134718.75,*,1836126.3,*,501,Bunbury
9200348,Livestock products - Eggs,446949.65,*,384432.84,*,502,Mandurah
9200348,Livestock products - Eggs,9792674.6,^,8422930.36,^,504,Perth - North East
9200348,Livestock products - Eggs,5636589.93,,4848175.43,,505,Perth - North West
9200348,Livestock products - Eggs,1843106.8,,1585303.39,,506,Perth - South East
9200348,Livestock products - Eggs,38989166.86,,33535581.51,,509,Western Australia - Wheat Belt
9200348,Livestock products - Eggs,4133334.62,,3555187.02,,511,Western Australia - Outback (South)
9200348,Livestock products - Eggs,5353683.34,**,4739069.99,**,601,Hobart
9200348,Livestock products - Eggs,9955818.51,,8812871.02,,602,Launceston and North East
9200348,Livestock products - Eggs,968.61,**,857.42,**,603,South East
9200348,Livestock products - Eggs,167.96,,148.68,,604,West and North West
9200348,Livestock products - Eggs,659478.71,*,566551.45,*,801,Australian Capital Territory
