Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
9100358,Livestock slaughtered and other disposals - Pigs,37870503.88,,36460231.39,,101,Capital Region
9100358,Livestock slaughtered and other disposals - Pigs,1260382.94,*,1213447.11,*,103,Central West
9100358,Livestock slaughtered and other disposals - Pigs,4982391.26,**,4796850.31,**,105,Far West and Orana
9100358,Livestock slaughtered and other disposals - Pigs,472317.14,**,454728.36,**,106,Hunter Valley exc Newcastle
9100358,Livestock slaughtered and other disposals - Pigs,109301010.5,,105230713.3,,109,Murray
9100358,Livestock slaughtered and other disposals - Pigs,4382710.18,**,4219500.96,**,110,New England and North West
9100358,Livestock slaughtered and other disposals - Pigs,8644069.1,^,8322169.69,^,112,Richmond - Tweed
9100358,Livestock slaughtered and other disposals - Pigs,32310763.99,,31107532.53,,113,Riverina
9100358,Livestock slaughtered and other disposals - Pigs,195854.17,**,188560.69,**,124,Sydney - Outer West and Blue Mountains
9100358,Livestock slaughtered and other disposals - Pigs,1199685.53,*,1155010.03,*,127,Sydney - South West
9100358,Livestock slaughtered and other disposals - Pigs,21153401.77,,20253122.44,,201,Ballarat
9100358,Livestock slaughtered and other disposals - Pigs,50251418.26,^,48112740.34,^,202,Bendigo
9100358,Livestock slaughtered and other disposals - Pigs,24263491.47,,23230848.11,,203,Geelong
9100358,Livestock slaughtered and other disposals - Pigs,997372.1,*,954924.39,*,204,Hume
9100358,Livestock slaughtered and other disposals - Pigs,6041217.79,^,5784106.26,^,205,Latrobe - Gippsland
9100358,Livestock slaughtered and other disposals - Pigs,78706022.38,^,75356329.22,^,215,North West
9100358,Livestock slaughtered and other disposals - Pigs,38523858.14,^,36884299.94,^,216,Shepparton
9100358,Livestock slaughtered and other disposals - Pigs,3201843.22,**,3065574.2,**,217,Warrnambool and South West
9100358,Livestock slaughtered and other disposals - Pigs,376500.84,**,360219.37,**,306,Cairns
9100358,Livestock slaughtered and other disposals - Pigs,144760642.6,,138500586.9,,307,Darling Downs - Maranoa
9100358,Livestock slaughtered and other disposals - Pigs,8022979.22,,7676032.04,,308,Central Queensland
9100358,Livestock slaughtered and other disposals - Pigs,999127.22,,955920.78,,310,Ipswich
9100358,Livestock slaughtered and other disposals - Pigs,6014.58,,5754.48,,312,Mackay - Isaac - Whitsunday
9100358,Livestock slaughtered and other disposals - Pigs,18811.35,**,17997.87,**,315,Queensland - Outback
9100358,Livestock slaughtered and other disposals - Pigs,27041387.46,^,25872004.76,^,317,Toowoomba
9100358,Livestock slaughtered and other disposals - Pigs,1153933.08,**,1104032.19,**,318,Townsville
9100358,Livestock slaughtered and other disposals - Pigs,65857248.73,^,63009305.82,^,319,Wide Bay
9100358,Livestock slaughtered and other disposals - Pigs,,,,,402,Adelaide - North
9100358,Livestock slaughtered and other disposals - Pigs,93048741.6,^,84344283.07,^,405,Barossa - Yorke - Mid North
9100358,Livestock slaughtered and other disposals - Pigs,,,,,406,South Australia - Outback
9100358,Livestock slaughtered and other disposals - Pigs,163618002.1,^,148311979.8,^,407,South Australia - South East
9100358,Livestock slaughtered and other disposals - Pigs,,,,,501,Bunbury
9100358,Livestock slaughtered and other disposals - Pigs,10150102.53,^,9293468.09,^,502,Mandurah
9100358,Livestock slaughtered and other disposals - Pigs,,,,,506,Perth - South East
9100358,Livestock slaughtered and other disposals - Pigs,158544207.5,^,145163610.9,^,509,Western Australia - Wheat Belt
9100358,Livestock slaughtered and other disposals - Pigs,6613.83,,6055.64,,510,Western Australia - Outback (North)
9100358,Livestock slaughtered and other disposals - Pigs,9909302.12,**,9072990.42,**,511,Western Australia - Outback (South)
9100358,Livestock slaughtered and other disposals - Pigs,,,,,601,Hobart
9100358,Livestock slaughtered and other disposals - Pigs,6842084.86,,6226714.28,,602,Launceston and North East
9100358,Livestock slaughtered and other disposals - Pigs,,,,,603,South East
9100358,Livestock slaughtered and other disposals - Pigs,160550.1,^,146110.38,^,604,West and North West
