Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
9100658,Livestock slaughtered and other disposals - Poultry,20778826.11,^,20436903.47,^,101,Capital Region
9100658,Livestock slaughtered and other disposals - Poultry,65204212.34,^,64131254.87,^,102,Central Coast
9100658,Livestock slaughtered and other disposals - Poultry,23358913,,22974534.15,,103,Central West
9100658,Livestock slaughtered and other disposals - Poultry,47045.44,**,46271.29,**,104,Coffs Harbour - Grafton
9100658,Livestock slaughtered and other disposals - Poultry,1773.88,**,1744.69,**,105,Far West and Orana
9100658,Livestock slaughtered and other disposals - Poultry,45928763.79,^,45172990.38,^,106,Hunter Valley exc Newcastle
9100658,Livestock slaughtered and other disposals - Poultry,35107525.16,^,34529818.91,^,108,Mid North Coast
9100658,Livestock slaughtered and other disposals - Poultry,806643.45,,793369.85,,109,Murray
9100658,Livestock slaughtered and other disposals - Poultry,102021738.3,,100342936,,110,New England and North West
9100658,Livestock slaughtered and other disposals - Poultry,7561864.85,*,7437431.79,*,111,Newcastle and Lake Macquarie
9100658,Livestock slaughtered and other disposals - Poultry,38057466.57,,37431218.03,,112,Richmond - Tweed
9100658,Livestock slaughtered and other disposals - Poultry,242007611.3,,238025293.8,,113,Riverina
9100658,Livestock slaughtered and other disposals - Poultry,175784.53,**,172891.93,**,114,Southern Highlands and Shoalhaven
9100658,Livestock slaughtered and other disposals - Poultry,23046851.1,*,22667607.34,*,115,Sydney - Baulkham Hills and Hawkesbury
9100658,Livestock slaughtered and other disposals - Poultry,11679311.32,,11487124.29,,116,Sydney - Blacktown
9100658,Livestock slaughtered and other disposals - Poultry,25270733.83,^,24854895.32,^,123,Sydney - Outer South West
9100658,Livestock slaughtered and other disposals - Poultry,29602566.34,^,29115446.05,^,124,Sydney - Outer West and Blue Mountains
9100658,Livestock slaughtered and other disposals - Poultry,35826067.72,,35236537.6,,125,Sydney - Parramatta
9100658,Livestock slaughtered and other disposals - Poultry,76278053.04,^,75022871.76,^,127,Sydney - South West
9100658,Livestock slaughtered and other disposals - Poultry,30266548.92,,29845797.55,,201,Ballarat
9100658,Livestock slaughtered and other disposals - Poultry,68607418.7,,67653670.54,,202,Bendigo
9100658,Livestock slaughtered and other disposals - Poultry,110550733,^,109013908.5,^,203,Geelong
9100658,Livestock slaughtered and other disposals - Poultry,37930157.06,^,37402869.8,^,204,Hume
9100658,Livestock slaughtered and other disposals - Poultry,57011271.75,*,56218727.79,*,205,Latrobe - Gippsland
9100658,Livestock slaughtered and other disposals - Poultry,15217258.46,^,15005715.27,^,209,Melbourne - North East
9100658,Livestock slaughtered and other disposals - Poultry,1714920.83,*,1691080.81,*,210,Melbourne - North West
9100658,Livestock slaughtered and other disposals - Poultry,12986622.16,,12806088.23,,211,Melbourne - Outer East
9100658,Livestock slaughtered and other disposals - Poultry,101657048.9,^,100243860.3,^,212,Melbourne - South East
9100658,Livestock slaughtered and other disposals - Poultry,11343271.65,*,11185582.81,*,213,Melbourne - West
9100658,Livestock slaughtered and other disposals - Poultry,92044173.72,^,90764618.79,^,214,Mornington Peninsula
9100658,Livestock slaughtered and other disposals - Poultry,24041460.51,*,23707247.4,*,215,North West
9100658,Livestock slaughtered and other disposals - Poultry,297366.73,**,293232.88,**,216,Shepparton
9100658,Livestock slaughtered and other disposals - Poultry,562653.24,*,554831.49,*,217,Warrnambool and South West
9100658,Livestock slaughtered and other disposals - Poultry,35667115.45,,35162116.17,,301,Brisbane - East
9100658,Livestock slaughtered and other disposals - Poultry,277357.91,*,273430.89,*,302,Brisbane - North
