Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
9015959,Livestock slaughtered and other disposals - Total,443074874.6,,412106258.7,,101,Capital Region
9015959,Livestock slaughtered and other disposals - Total,65847021.55,^,64728411.16,^,102,Central Coast
9015959,Livestock slaughtered and other disposals - Total,537552292.3,,498526541,,103,Central West
9015959,Livestock slaughtered and other disposals - Total,80867405.34,^,75015899.17,^,104,Coffs Harbour - Grafton
9015959,Livestock slaughtered and other disposals - Total,474478203,,438823128.3,,105,Far West and Orana
9015959,Livestock slaughtered and other disposals - Total,180270871.3,,169750993.4,,106,Hunter Valley exc Newcastle
9015959,Livestock slaughtered and other disposals - Total,,,,,107,Illawarra
9015959,Livestock slaughtered and other disposals - Total,150327208.9,^,141395071.1,^,108,Mid North Coast
9015959,Livestock slaughtered and other disposals - Total,491162690.1,,458371231.5,,109,Murray
9015959,Livestock slaughtered and other disposals - Total,881538569,,822745473.6,,110,New England and North West
9015959,Livestock slaughtered and other disposals - Total,7602301.41,*,7475058.59,*,111,Newcastle and Lake Macquarie
9015959,Livestock slaughtered and other disposals - Total,143752061.6,^,135758717.2,^,112,Richmond - Tweed
9015959,Livestock slaughtered and other disposals - Total,666218116.5,,631564656.4,,113,Riverina
9015959,Livestock slaughtered and other disposals - Total,,,,,114,Southern Highlands and Shoalhaven
9015959,Livestock slaughtered and other disposals - Total,23729760.98,*,23301443.4,*,115,Sydney - Baulkham Hills and Hawkesbury
9015959,Livestock slaughtered and other disposals - Total,11690169.7,,11497195.23,,116,Sydney - Blacktown
9015959,Livestock slaughtered and other disposals - Total,,,,,119,Sydney - Inner South West
9015959,Livestock slaughtered and other disposals - Total,2487.64,**,2356.93,**,122,Sydney - Northern Beaches
9015959,Livestock slaughtered and other disposals - Total,29248936.54,^,28544573.87,^,123,Sydney - Outer South West
9015959,Livestock slaughtered and other disposals - Total,30080549.51,^,29566159.43,^,124,Sydney - Outer West and Blue Mountains
9015959,Livestock slaughtered and other disposals - Total,35826173.74,,35236638.05,,125,Sydney - Parramatta
9015959,Livestock slaughtered and other disposals - Total,80882183.12,^,79335999.93,^,127,Sydney - South West
9015959,Livestock slaughtered and other disposals - Total,275725689.1,^,254850733.6,^,201,Ballarat
9015959,Livestock slaughtered and other disposals - Total,305611130.9,,285304895.4,,202,Bendigo
9015959,Livestock slaughtered and other disposals - Total,257774925.4,^,244085043.9,^,203,Geelong
9015959,Livestock slaughtered and other disposals - Total,563558679.6,,516649059.9,,204,Hume
9015959,Livestock slaughtered and other disposals - Total,661088505.1,,607972643.8,,205,Latrobe - Gippsland
9015959,Livestock slaughtered and other disposals - Total,102422.49,,96274.67,,206,Melbourne - Inner
9015959,Livestock slaughtered and other disposals - Total,37638.3,*,34451.96,*,208,Melbourne - Inner South
9015959,Livestock slaughtered and other disposals - Total,28857173.88,^,27448331.02,^,209,Melbourne - North East
9015959,Livestock slaughtered and other disposals - Total,19965162.19,^,18328924.25,^,210,Melbourne - North West
9015959,Livestock slaughtered and other disposals - Total,19576469.66,^,18827664.95,^,211,Melbourne - Outer East
9015959,Livestock slaughtered and other disposals - Total,154290025.5,^,148330996.8,^,212,Melbourne - South East
9015959,Livestock slaughtered and other disposals - Total,14623578.54,*,14174095.51,*,213,Melbourne - West
