Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",6087573.27,**,6084361.8,**,101,Capital Region
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",5506098.25,**,5503193.54,**,102,Central Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3899553.12,*,3897495.93,*,103,Central West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4429717.5,**,4427380.62,**,105,Far West and Orana
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4191196.58,**,4188985.53,**,106,Hunter Valley exc Newcastle
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1966344.89,**,1965307.55,**,110,New England and North West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7524101.14,^,7520131.83,^,112,Richmond - Tweed
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",854113.46,,853662.87,,113,Riverina
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",15447217.18,**,15439068.07,**,114,Southern Highlands and Shoalhaven
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",39381512.74,*,39360737.2,*,115,Sydney - Baulkham Hills and Hawkesbury
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",2936585.74,**,2935036.55,**,123,Sydney - Outer South West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",34492943.08,*,34474746.48,*,124,Sydney - Outer West and Blue Mountains
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3117455.11,**,3114637.25,**,201,Ballarat
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",166117.5,*,165967.34,*,202,Bendigo
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",3112233.35,,3109420.21,,203,Geelong
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",7597924.88,^,7591057.15,^,204,Hume
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4243954.56,,4240118.47,,205,Latrobe - Gippsland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",10554470.77,^,10544930.64,^,212,Melbourne - South East
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4823491.04,**,4819131.11,**,213,Melbourne - West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1724195.83,**,1722637.33,**,214,Mornington Peninsula
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",5256495.41,,5251744.08,,216,Shepparton
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",241447.76,**,241229.52,**,217,Warrnambool and South West
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",248110.37,**,247750.32,**,303,Brisbane - South
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1307895.78,,1305997.82,,306,Cairns
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",384988.18,*,384429.5,*,307,Darling Downs - Maranoa
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",384049.45,**,383492.13,**,308,Central Queensland
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4994558.65,^,4987310.76,^,309,Gold Coast
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",5859066.87,^,5850564.44,^,310,Ipswich
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",11834337.18,^,11817163.7,^,311,Logan - Beaudesert
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",1601186.16,*,1598862.59,*,312,Mackay - Isaac - Whitsunday
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",4707116.33,^,4700285.57,^,313,Moreton Bay - North
1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",689508.23,*,688507.64,*,314,Moreton Bay - South
