Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3630016,Vegetables for human consumption - All other vegetables n.e.c.,1844044.72,**,1567438.01,**,101,Capital Region
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,102,Central Coast
3630016,Vegetables for human consumption - All other vegetables n.e.c.,8229474.23,^,6995053.1,^,103,Central West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,1479723.8,**,1257765.23,**,104,Coffs Harbour - Grafton
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,105,Far West and Orana
3630016,Vegetables for human consumption - All other vegetables n.e.c.,239055,*,203196.75,*,106,Hunter Valley exc Newcastle
3630016,Vegetables for human consumption - All other vegetables n.e.c.,218013.13,**,185311.16,**,107,Illawarra
3630016,Vegetables for human consumption - All other vegetables n.e.c.,6167217.48,**,5242134.86,**,108,Mid North Coast
3630016,Vegetables for human consumption - All other vegetables n.e.c.,11681859.48,*,9929580.56,*,109,Murray
3630016,Vegetables for human consumption - All other vegetables n.e.c.,6368983.2,**,5413635.72,**,110,New England and North West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,9720441.22,*,8262375.04,*,112,Richmond - Tweed
3630016,Vegetables for human consumption - All other vegetables n.e.c.,13452578.18,^,11434691.46,^,113,Riverina
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2016621.44,**,1714128.23,**,114,Southern Highlands and Shoalhaven
3630016,Vegetables for human consumption - All other vegetables n.e.c.,8993432.92,*,7644417.99,*,115,Sydney - Baulkham Hills and Hawkesbury
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,116,Sydney - Blacktown
3630016,Vegetables for human consumption - All other vegetables n.e.c.,1561264.86,**,1327075.13,**,123,Sydney - Outer South West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,5077902.75,*,4316217.34,*,124,Sydney - Outer West and Blue Mountains
3630016,Vegetables for human consumption - All other vegetables n.e.c.,33353057.43,**,28350098.82,**,127,Sydney - South West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2128392.17,**,1809133.34,**,201,Ballarat
3630016,Vegetables for human consumption - All other vegetables n.e.c.,77526.49,*,65897.51,*,202,Bendigo
3630016,Vegetables for human consumption - All other vegetables n.e.c.,6772523.53,**,5756645,**,203,Geelong
3630016,Vegetables for human consumption - All other vegetables n.e.c.,505204.2,*,429423.57,*,204,Hume
3630016,Vegetables for human consumption - All other vegetables n.e.c.,21541680.68,,18310428.58,,205,Latrobe - Gippsland
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2294645.69,**,1950448.83,**,208,Melbourne - Inner South
3630016,Vegetables for human consumption - All other vegetables n.e.c.,55053.27,**,46795.28,**,209,Melbourne - North East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,95410.93,*,81099.29,*,211,Melbourne - Outer East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,156055601.8,^,132647261.5,^,212,Melbourne - South East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,10019712.43,*,8516755.56,*,213,Melbourne - West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,41055209.05,^,34896927.7,^,214,Mornington Peninsula
3630016,Vegetables for human consumption - All other vegetables n.e.c.,26434916.09,^,22469678.68,^,215,North West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,17276829.72,^,14685305.26,^,216,Shepparton
3630016,Vegetables for human consumption - All other vegetables n.e.c.,1665163,**,1415388.55,**,217,Warrnambool and South West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,303,Brisbane - South
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,306,Cairns
3630016,Vegetables for human consumption - All other vegetables n.e.c.,35122351.78,,29853999.01,,307,Darling Downs - Maranoa
3630016,Vegetables for human consumption - All other vegetables n.e.c.,29579719.55,*,25142761.62,*,308,Central Queensland
3630016,Vegetables for human consumption - All other vegetables n.e.c.,331270.69,*,281580.09,*,309,Gold Coast
3630016,Vegetables for human consumption - All other vegetables n.e.c.,72069618.11,^,61259175.39,^,310,Ipswich
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2126787.43,**,1807769.32,**,311,Logan - Beaudesert
3630016,Vegetables for human consumption - All other vegetables n.e.c.,23091165.53,,19627490.7,,312,Mackay - Isaac - Whitsunday
3630016,Vegetables for human consumption - All other vegetables n.e.c.,929128.92,**,789759.58,**,313,Moreton Bay - North
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2653632.42,*,2255587.56,*,315,Queensland - Outback
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2051799.16,**,1744029.29,**,316,Sunshine Coast
3630016,Vegetables for human consumption - All other vegetables n.e.c.,24891778.89,^,21158012.06,^,317,Toowoomba
3630016,Vegetables for human consumption - All other vegetables n.e.c.,13112081.83,^,11145269.55,^,318,Townsville
3630016,Vegetables for human consumption - All other vegetables n.e.c.,141341015.2,,120139862.9,,319,Wide Bay
3630016,Vegetables for human consumption - All other vegetables n.e.c.,1506288.66,**,1280345.36,**,401,Adelaide - Central and Hills
3630016,Vegetables for human consumption - All other vegetables n.e.c.,12556398.2,^,10672938.47,^,402,Adelaide - North
3630016,Vegetables for human consumption - All other vegetables n.e.c.,64361.2,**,54707.02,**,404,Adelaide - West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,2166825.98,**,1841802.09,**,405,Barossa - Yorke - Mid North
3630016,Vegetables for human consumption - All other vegetables n.e.c.,15983089.22,**,13585625.83,**,407,South Australia - South East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,24336984.26,*,20686436.62,*,501,Bunbury
3630016,Vegetables for human consumption - All other vegetables n.e.c.,4756361.97,*,4042907.67,*,502,Mandurah
3630016,Vegetables for human consumption - All other vegetables n.e.c.,5400155.83,*,4590132.45,*,505,Perth - North West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,785044.23,*,667287.6,*,506,Perth - South East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,12088161.04,*,10274936.89,*,509,Western Australia - Wheat Belt
3630016,Vegetables for human consumption - All other vegetables n.e.c.,436422.02,**,370958.72,**,510,Western Australia - Outback (North)
3630016,Vegetables for human consumption - All other vegetables n.e.c.,7741358.53,*,6580154.75,*,511,Western Australia - Outback (South)
3630016,Vegetables for human consumption - All other vegetables n.e.c.,6146687.06,,5224684,,601,Hobart
3630016,Vegetables for human consumption - All other vegetables n.e.c.,8118925.97,^,6901087.08,^,602,Launceston and North East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,3345359.6,*,2843555.66,*,603,South East
3630016,Vegetables for human consumption - All other vegetables n.e.c.,4073308.93,^,3462312.59,^,604,West and North West
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,701,Darwin
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,,,702,Northern Territory - Outback
