Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,104,Coffs Harbour - Grafton
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,105,Far West and Orana
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,107,Illawarra
3601358,Vegetables for human consumption - Beans (including french and runner),1185047.69,**,1025804.01,**,108,Mid North Coast
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,110,New England and North West
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,114,Southern Highlands and Shoalhaven
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,115,Sydney - Baulkham Hills and Hawkesbury
3601358,Vegetables for human consumption - Beans (including french and runner),9529.23,,8248.71,,123,Sydney - Outer South West
3601358,Vegetables for human consumption - Beans (including french and runner),24170866.96,,21224218.91,,205,Latrobe - Gippsland
3601358,Vegetables for human consumption - Beans (including french and runner),1877.04,**,1648.22,**,211,Melbourne - Outer East
3601358,Vegetables for human consumption - Beans (including french and runner),367649.1,*,322829.34,*,212,Melbourne - South East
3601358,Vegetables for human consumption - Beans (including french and runner),649637.74,**,570441,**,214,Mornington Peninsula
3601358,Vegetables for human consumption - Beans (including french and runner),2919976.92,,2564005.23,,215,North West
3601358,Vegetables for human consumption - Beans (including french and runner),1079932.04,,948278.52,,217,Warrnambool and South West
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,301,Brisbane - East
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,307,Darling Downs - Maranoa
3601358,Vegetables for human consumption - Beans (including french and runner),37937316.73,^,33008462.31,^,310,Ipswich
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,312,Mackay - Isaac - Whitsunday
3601358,Vegetables for human consumption - Beans (including french and runner),,,,,315,Queensland - Outback
3601358,Vegetables for human consumption - Beans (including french and runner),15077.66,**,13118.75,**,316,Sunshine Coast
3601358,Vegetables for human consumption - Beans (including french and runner),29858397.55,,25979164.45,,317,Toowoomba
3601358,Vegetables for human consumption - Beans (including french and runner),15738484.16,,13693724.44,,318,Townsville
3601358,Vegetables for human consumption - Beans (including french and runner),15736029.46,^,13691588.66,^,319,Wide Bay
3601358,Vegetables for human consumption - Beans (including french and runner),34190.35,**,29951.43,**,402,Adelaide - North
3601358,Vegetables for human consumption - Beans (including french and runner),734.81,**,643.71,**,407,South Australia - South East
3601358,Vegetables for human consumption - Beans (including french and runner),81062.07,,70568.86,,501,Bunbury
3601358,Vegetables for human consumption - Beans (including french and runner),546694.75,,475926.95,,505,Perth - North West
3601358,Vegetables for human consumption - Beans (including french and runner),1466.81,**,1276.93,**,506,Perth - South East
3601358,Vegetables for human consumption - Beans (including french and runner),68882.86,*,59966.21,*,509,Western Australia - Wheat Belt
3601358,Vegetables for human consumption - Beans (including french and runner),1803579.55,,1570112.25,,510,Western Australia - Outback (North)
3601358,Vegetables for human consumption - Beans (including french and runner),78851.35,**,68644.31,**,511,Western Australia - Outback (South)
3601358,Vegetables for human consumption - Beans (including french and runner),341.79,**,312.78,**,601,Hobart
3601358,Vegetables for human consumption - Beans (including french and runner),4895178.8,^,4479693.46,^,602,Launceston and North East
3601358,Vegetables for human consumption - Beans (including french and runner),8053823.41,^,7370243.57,^,604,West and North West
