Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3606758,Vegetables for human consumption - Green peas - Fresh market,18307.47,**,15772.29,**,103,Central West
3606758,Vegetables for human consumption - Green peas - Fresh market,5202.58,**,4482.14,**,107,Illawarra
3606758,Vegetables for human consumption - Green peas - Fresh market,29811.21,**,25683.02,**,108,Mid North Coast
3606758,Vegetables for human consumption - Green peas - Fresh market,24528.3,*,21131.68,*,109,Murray
3606758,Vegetables for human consumption - Green peas - Fresh market,77858.47,**,67076.81,**,110,New England and North West
3606758,Vegetables for human consumption - Green peas - Fresh market,2051.3,**,1767.24,**,114,Southern Highlands and Shoalhaven
3606758,Vegetables for human consumption - Green peas - Fresh market,10711.16,**,9227.9,**,115,Sydney - Baulkham Hills and Hawkesbury
3606758,Vegetables for human consumption - Green peas - Fresh market,70495.73,,60733.65,,123,Sydney - Outer South West
3606758,Vegetables for human consumption - Green peas - Fresh market,91610.26,**,80241.53,**,203,Geelong
3606758,Vegetables for human consumption - Green peas - Fresh market,5357329.5,^,4692491.04,^,205,Latrobe - Gippsland
3606758,Vegetables for human consumption - Green peas - Fresh market,1380383.25,**,1209079.27,**,215,North West
3606758,Vegetables for human consumption - Green peas - Fresh market,5164236.51,*,4505834.82,*,307,Darling Downs - Maranoa
3606758,Vegetables for human consumption - Green peas - Fresh market,,,,,310,Ipswich
3606758,Vegetables for human consumption - Green peas - Fresh market,6938.9,**,6054.24,**,316,Sunshine Coast
3606758,Vegetables for human consumption - Green peas - Fresh market,,,,,319,Wide Bay
3606758,Vegetables for human consumption - Green peas - Fresh market,6986.97,*,6193.24,*,407,South Australia - South East
3606758,Vegetables for human consumption - Green peas - Fresh market,18162.21,*,15931.03,*,509,Western Australia - Wheat Belt
