Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3610658,Vegetables for human consumption - Lettuces - Total,,,,,101,Capital Region
3610658,Vegetables for human consumption - Lettuces - Total,26830.66,**,25217.38,**,102,Central Coast
3610658,Vegetables for human consumption - Lettuces - Total,379190.74,,356390.68,,103,Central West
3610658,Vegetables for human consumption - Lettuces - Total,7257.31,**,6820.94,**,104,Coffs Harbour - Grafton
3610658,Vegetables for human consumption - Lettuces - Total,547449.24,,514532.1,,109,Murray
3610658,Vegetables for human consumption - Lettuces - Total,,,,,112,Richmond - Tweed
3610658,Vegetables for human consumption - Lettuces - Total,,,,,113,Riverina
3610658,Vegetables for human consumption - Lettuces - Total,,,,,114,Southern Highlands and Shoalhaven
3610658,Vegetables for human consumption - Lettuces - Total,337034.5,*,316769.22,*,115,Sydney - Baulkham Hills and Hawkesbury
3610658,Vegetables for human consumption - Lettuces - Total,,,,,116,Sydney - Blacktown
3610658,Vegetables for human consumption - Lettuces - Total,1530487.15,**,1438461.72,**,123,Sydney - Outer South West
3610658,Vegetables for human consumption - Lettuces - Total,2352479.94,**,2211029.56,**,124,Sydney - Outer West and Blue Mountains
3610658,Vegetables for human consumption - Lettuces - Total,,,,,127,Sydney - South West
3610658,Vegetables for human consumption - Lettuces - Total,4929420.45,**,4059316.99,**,203,Geelong
3610658,Vegetables for human consumption - Lettuces - Total,113072.61,*,93113.9,*,204,Hume
3610658,Vegetables for human consumption - Lettuces - Total,41188794.99,,33918465,,205,Latrobe - Gippsland
3610658,Vegetables for human consumption - Lettuces - Total,1974.81,**,1626.24,**,211,Melbourne - Outer East
3610658,Vegetables for human consumption - Lettuces - Total,12281986.24,^,10114064.29,^,212,Melbourne - South East
3610658,Vegetables for human consumption - Lettuces - Total,11417526.76,^,9402192.56,^,213,Melbourne - West
3610658,Vegetables for human consumption - Lettuces - Total,7669710.6,,6315912.15,,214,Mornington Peninsula
3610658,Vegetables for human consumption - Lettuces - Total,3546185.53,,2920240.07,,215,North West
3610658,Vegetables for human consumption - Lettuces - Total,250.44,*,206.24,*,216,Shepparton
3610658,Vegetables for human consumption - Lettuces - Total,819346.66,,658956.39,,301,Brisbane - East
3610658,Vegetables for human consumption - Lettuces - Total,,,,,303,Brisbane - South
3610658,Vegetables for human consumption - Lettuces - Total,,,,,306,Cairns
3610658,Vegetables for human consumption - Lettuces - Total,,,,,307,Darling Downs - Maranoa
3610658,Vegetables for human consumption - Lettuces - Total,443337.24,**,356552.27,**,308,Central Queensland
3610658,Vegetables for human consumption - Lettuces - Total,,,,,310,Ipswich
3610658,Vegetables for human consumption - Lettuces - Total,94147.85,**,75718.05,**,313,Moreton Bay - North
3610658,Vegetables for human consumption - Lettuces - Total,53360.54,*,42915.01,*,316,Sunshine Coast
3610658,Vegetables for human consumption - Lettuces - Total,35803587.56,,28794897.35,,317,Toowoomba
3610658,Vegetables for human consumption - Lettuces - Total,,,,,319,Wide Bay
3610658,Vegetables for human consumption - Lettuces - Total,9.13,**,7.78,**,401,Adelaide - Central and Hills
3610658,Vegetables for human consumption - Lettuces - Total,779484.96,**,664247.91,**,402,Adelaide - North
3610658,Vegetables for human consumption - Lettuces - Total,389.14,,331.61,,405,Barossa - Yorke - Mid North
3610658,Vegetables for human consumption - Lettuces - Total,4030901.22,,3434983.18,,407,South Australia - South East
3610658,Vegetables for human consumption - Lettuces - Total,,,,,501,Bunbury
3610658,Vegetables for human consumption - Lettuces - Total,1407675.21,*,1136397.55,*,502,Mandurah
3610658,Vegetables for human consumption - Lettuces - Total,,,,,505,Perth - North West
3610658,Vegetables for human consumption - Lettuces - Total,,,,,509,Western Australia - Wheat Belt
3610658,Vegetables for human consumption - Lettuces - Total,1448601.79,,1218985.13,,601,Hobart
3610658,Vegetables for human consumption - Lettuces - Total,,,,,702,Northern Territory - Outback
