Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3611558,Vegetables for human consumption - Onions,254909.23,,224201.63,,103,Central West
3611558,Vegetables for human consumption - Onions,,,,,104,Coffs Harbour - Grafton
3611558,Vegetables for human consumption - Onions,3033898.34,**,2668420.24,**,109,Murray
3611558,Vegetables for human consumption - Onions,1415627.51,^,1245094.16,^,113,Riverina
3611558,Vegetables for human consumption - Onions,,,,,115,Sydney - Baulkham Hills and Hawkesbury
3611558,Vegetables for human consumption - Onions,,,,,116,Sydney - Blacktown
3611558,Vegetables for human consumption - Onions,20152.78,**,17869.87,**,204,Hume
3611558,Vegetables for human consumption - Onions,6268535.37,^,5558433.81,^,205,Latrobe - Gippsland
3611558,Vegetables for human consumption - Onions,2126931.54,*,1885992.1,*,212,Melbourne - South East
3611558,Vegetables for human consumption - Onions,472244.63,**,418748.62,**,215,North West
3611558,Vegetables for human consumption - Onions,502757.38,,445804.88,,216,Shepparton
3611558,Vegetables for human consumption - Onions,5757300,,5046909.55,,307,Darling Downs - Maranoa
3611558,Vegetables for human consumption - Onions,16034611.36,,14056108.45,,310,Ipswich
3611558,Vegetables for human consumption - Onions,1926680.66,**,1688948.47,**,311,Logan - Beaudesert
3611558,Vegetables for human consumption - Onions,10830.41,,9494.05,,315,Queensland - Outback
3611558,Vegetables for human consumption - Onions,6696271.9,*,5870022.16,*,317,Toowoomba
3611558,Vegetables for human consumption - Onions,65178.44,*,57136.1,*,319,Wide Bay
3611558,Vegetables for human consumption - Onions,1129.07,**,988.38,**,401,Adelaide - Central and Hills
3611558,Vegetables for human consumption - Onions,1336320.52,**,1169800.53,**,402,Adelaide - North
3611558,Vegetables for human consumption - Onions,224472.91,,196501.16,,405,Barossa - Yorke - Mid North
3611558,Vegetables for human consumption - Onions,109512563.7,,95866113.21,,407,South Australia - South East
3611558,Vegetables for human consumption - Onions,27427995.4,,23930377.37,,501,Bunbury
3611558,Vegetables for human consumption - Onions,1261303.89,*,1100462.42,*,505,Perth - North West
3611558,Vegetables for human consumption - Onions,90058.23,^,78574.01,^,509,Western Australia - Wheat Belt
3611558,Vegetables for human consumption - Onions,1014848.1,*,885434.66,*,511,Western Australia - Outback (South)
3611558,Vegetables for human consumption - Onions,14236268.97,^,12341940.99,^,602,Launceston and North East
3611558,Vegetables for human consumption - Onions,19515996.18,,16919129.14,,604,West and North West
