Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,439883.64,^,400111.51,^,101,Capital Region
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1308013.61,,1189749.42,,103,Central West
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,3964.78,**,3606.3,**,104,Coffs Harbour - Grafton
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,385804.85,**,350922.26,**,105,Far West and Orana
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,357540.58,*,325213.51,*,106,Hunter Valley exc Newcastle
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,32360322.25,^,29434460.25,^,109,Murray
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,589095.59,**,535832.45,**,110,New England and North West
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,273645.59,**,248903.9,**,112,Richmond - Tweed
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,21074487.29,^,19169035.27,^,113,Riverina
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,4456544.78,*,4053605.81,*,114,Southern Highlands and Shoalhaven
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,3772253.49,*,3431184.79,*,115,Sydney - Baulkham Hills and Hawkesbury
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2859331.76,,2600804.97,,123,Sydney - Outer South West
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,56191895.26,^,51854722.8,^,201,Ballarat
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,125092.41,**,115437.15,**,204,Hume
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,23548631.63,^,21731030.07,^,205,Latrobe - Gippsland
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,10939797.11,*,10095408.67,*,212,Melbourne - South East
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,11626002.51,,10728649.29,,215,North West
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,5971262.98,^,5510370.94,^,217,Warrnambool and South West
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,10805055.74,*,9706194.71,*,306,Cairns
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2747144.96,^,2467763.66,^,310,Ipswich
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,21674.36,*,19470.1,*,315,Queensland - Outback
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,9911085.97,,8903140.58,,317,Toowoomba
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,5040502.87,,4527889.85,,318,Townsville
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,7061181.71,,6343068.11,,319,Wide Bay
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,463656.11,**,416145.62,**,401,Adelaide - Central and Hills
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,15128945.82,*,13578693.98,*,402,Adelaide - North
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2033335.85,,1824981.43,,405,Barossa - Yorke - Mid North
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,207312950.2,,186069746.2,,407,South Australia - South East
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,38814960.09,^,34894934.39,^,501,Bunbury
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,7226453.69,,6496634.97,,509,Western Australia - Wheat Belt
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2347356,**,2300393.36,**,601,Hobart
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,67202709.32,,65858210.74,,602,Launceston and North East
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1326638.32,*,1300096.78,*,603,South East
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,51892111,,50853925.63,,604,West and North West
