Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3611758,Vegetables for human consumption - Sweet corn,4123.71,**,3342.76,**,101,Capital Region
3611758,Vegetables for human consumption - Sweet corn,3862131.58,,3130712.27,,103,Central West
3611758,Vegetables for human consumption - Sweet corn,2080.87,**,1686.79,**,104,Coffs Harbour - Grafton
3611758,Vegetables for human consumption - Sweet corn,5610525.95,*,4547991.71,*,105,Far West and Orana
3611758,Vegetables for human consumption - Sweet corn,4521.72,**,3665.39,**,106,Hunter Valley exc Newcastle
3611758,Vegetables for human consumption - Sweet corn,573282.03,**,464712.57,**,110,New England and North West
3611758,Vegetables for human consumption - Sweet corn,8713.95,**,7063.68,**,112,Richmond - Tweed
3611758,Vegetables for human consumption - Sweet corn,824.74,**,668.55,**,114,Southern Highlands and Shoalhaven
3611758,Vegetables for human consumption - Sweet corn,232064.89,*,188115.91,*,115,Sydney - Baulkham Hills and Hawkesbury
3611758,Vegetables for human consumption - Sweet corn,46290.9,**,37524.23,**,124,Sydney - Outer West and Blue Mountains
3611758,Vegetables for human consumption - Sweet corn,72594.88,**,58846.7,**,127,Sydney - South West
3611758,Vegetables for human consumption - Sweet corn,620852.16,*,402699.4,*,204,Hume
3611758,Vegetables for human consumption - Sweet corn,17251377.42,,11189651.58,,205,Latrobe - Gippsland
3611758,Vegetables for human consumption - Sweet corn,471466.5,*,305804.33,*,212,Melbourne - South East
3611758,Vegetables for human consumption - Sweet corn,17090.43,**,11085.26,**,213,Melbourne - West
3611758,Vegetables for human consumption - Sweet corn,2378.24,*,1542.58,*,214,Mornington Peninsula
3611758,Vegetables for human consumption - Sweet corn,2860.24,**,1855.22,**,215,North West
3611758,Vegetables for human consumption - Sweet corn,14746415.87,,9564874.25,,216,Shepparton
3611758,Vegetables for human consumption - Sweet corn,6023.46,**,3904.6,**,306,Cairns
3611758,Vegetables for human consumption - Sweet corn,9211.65,**,5971.29,**,308,Central Queensland
3611758,Vegetables for human consumption - Sweet corn,22456228.65,,14556860.57,,310,Ipswich
3611758,Vegetables for human consumption - Sweet corn,7194592.08,^,4663769.48,^,312,Mackay - Isaac - Whitsunday
3611758,Vegetables for human consumption - Sweet corn,469218.88,,304163,,315,Queensland - Outback
3611758,Vegetables for human consumption - Sweet corn,16501.53,**,10696.83,**,316,Sunshine Coast
3611758,Vegetables for human consumption - Sweet corn,43832550.9,,28413690.55,,317,Toowoomba
3611758,Vegetables for human consumption - Sweet corn,8171916.02,,5297302.76,,318,Townsville
3611758,Vegetables for human consumption - Sweet corn,19888.01,**,12892.06,**,319,Wide Bay
3611758,Vegetables for human consumption - Sweet corn,2003.9,,1332.94,,405,Barossa - Yorke - Mid North
3611758,Vegetables for human consumption - Sweet corn,,,,,501,Bunbury
3611758,Vegetables for human consumption - Sweet corn,94253.41,^,64038.13,^,509,Western Australia - Wheat Belt
3611758,Vegetables for human consumption - Sweet corn,,,,,511,Western Australia - Outback (South)
3611758,Vegetables for human consumption - Sweet corn,,,,,604,West and North West
