Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"14,417",,47,,101,Central Tablelands
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"107,690",,103,,102,Central West
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,43,,103,Greater Sydney
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"3,889",,19,,104,Hunter
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"6,372",,21,,105,Murray
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"1,526",,22,,106,North Coast
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"101,274",,53,,108,North West NSW
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,103,,109,Northern Tablelands
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"52,919",,77,,111,South East NSW
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,3,,112,Western
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"13,237",,95,,201,Corangamite
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,19,,202,East Gippsland
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"41,886",,125,,203,Glenelg Hopkins
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"4,968",,39,,204,Goulburn Broken
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,79,,205,Mallee
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"21,337",,72,,206,North Central
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"4,932",,62,,207,North East
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,98,,208,Port Phillip and Western Port
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"14,167",,217,,209,West Gippsland
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"34,817",,101,,210,Wimmera
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,114,,301,Burnett Mary
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"11,406",,66,,303,Condamine
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"33,801",,7,,305,Desert Channels
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"17,475",,10,,306,Fitzroy Basin
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,13,,307,North Queensland Dry Tropics
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,,0,308,Northern Gulf
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"12,214",,17,,309,Queensland Murray Darling Basin
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"1,353",,28,,310,Reef Catchments
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"25,110",,74,,311,South East Queensland
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,,0,313,Southern Gulf
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,28,,314,Terrain NRM
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,70,,401,Adelaide and Mount Lofty Ranges
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"70,463",,51,,403,Eyre Peninsula
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"1,387",,5,,404,Kangaroo Island
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"57,530",,154,,405,Northern and Yorke
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,53,,407,South Australian Murray Darling Basin
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"31,060",,83,,408,South East
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"57,236",,47,,501,Northern Agricultural
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,,0,502,Peel-Harvey
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,,0,503,Perth
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,15,,504,Rangelands
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,70,,505,South Coast
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),"80,967",,107,,506,South West
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,39,,601,Cradle Coast
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,26,,602,North
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),142,,12,,603,South
AGLANDLLVAHACAG_F,Agricultural land vacated - Use of land after vacation - Continued agricultural use - Area of land leased out or vacated (ha),np,0,8,,701,Northern Territory
