Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"3,986",,89,,101,Central Tablelands
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"73,003",,234,,102,Central West
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),548,,37,,103,Greater Sydney
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"1,786",,73,,104,Hunter
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"26,269",,90,,105,Murray
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"3,205",,150,,106,North Coast
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"77,715",,209,,108,North West NSW
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"2,317",,26,,109,Northern Tablelands
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),767,,23,,111,South East NSW
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"17,422",,21,,112,Western
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"3,595",,56,,201,Corangamite
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"2,974",0,17,,202,East Gippsland
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"3,183",,43,,203,Glenelg Hopkins
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),847,0,17,,204,Goulburn Broken
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"46,528",,48,,205,Mallee
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"21,601",,134,,206,North Central
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),809,,37,,207,North East
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"2,261",,56,,208,Port Phillip and Western Port
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"2,345",,62,,209,West Gippsland
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"6,925",,59,,210,Wimmera
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),"25,140",,431,,301,Burnett Mary
LMPAST3CULTCRAHA_F,Crop and pasture management - Crop land cultivated - Three or more cultivations - Area (ha),20,0,1,0,302,Cape York
