Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"104,187",0,734,0,101,Central Tablelands
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,497,510",0,,0,102,Central West
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"3,188",0,116,0,103,Greater Sydney
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"23,986",0,239,0,104,Hunter
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"599,137",0,,0,105,Murray
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"13,328",0,375,0,106,North Coast
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,652,481",0,,0,108,North West NSW
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"79,724",0,425,0,109,Northern Tablelands
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"37,873",0,395,0,111,South East NSW
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"233,368",0,165,0,112,Western
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"106,126",0,440,0,201,Corangamite
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"5,781",0,54,0,202,East Gippsland
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"166,515",0,627,0,203,Glenelg Hopkins
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"126,051",0,839,0,204,Goulburn Broken
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,183,222",0,734,0,205,Mallee
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"528,923",0,,0,206,North Central
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"25,375",0,150,0,207,North East
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"21,296",0,275,0,208,Port Phillip and Western Port
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"14,952",0,288,0,209,West Gippsland
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"584,239",0,852,0,210,Wimmera
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"70,285",0,737,0,301,Burnett Mary
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),377,0,3,0,302,Cape York
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"425,214",0,,0,303,Condamine
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),639,0,8,0,305,Desert Channels
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"273,776",0,466,0,306,Fitzroy Basin
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"110,707",0,386,0,307,North Queensland Dry Tropics
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"3,379",0,39,0,308,Northern Gulf
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"870,071",0,691,0,309,Queensland Murray Darling Basin
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"26,643",0,448,0,310,Reef Catchments
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"18,372",0,415,0,311,South East Queensland
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"5,533",0,13,0,312,South West Queensland
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),339,0,7,0,313,Southern Gulf
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"32,558",0,662,0,314,Terrain NRM
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"58,599",0,266,0,401,Adelaide and Mount Lofty Ranges
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,163,756",0,720,0,403,Eyre Peninsula
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"12,534",0,69,0,404,Kangaroo Island
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"988,146",0,,0,405,Northern and Yorke
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"709,823",0,798,0,407,South Australian Murray Darling Basin
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"190,821",0,624,0,408,South East
LMPASTCULTCRAHA_F,Crop and pasture management - Crop land cultivated - Total area cultivated - Area (ha) (a),"1,781,468",0,880,0,501,Northern Agricultural
