Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"29,968",,278,,101,Central Tablelands
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"280,728",,936,0,102,Central West
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),509,,54,,103,Greater Sydney
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"11,894",,166,,104,Hunter
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"72,114",,355,,105,Murray
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"4,559",,226,,106,North Coast
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"279,857",0,612,,108,North West NSW
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"38,199",,220,,109,Northern Tablelands
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"20,553",,249,,111,South East NSW
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"53,961",,92,,112,Western
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"18,370",,396,,201,Corangamite
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"2,015",,57,,202,East Gippsland
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"31,774",,389,,203,Glenelg Hopkins
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"47,124",,649,,204,Goulburn Broken
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"45,746",,153,,205,Mallee
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"87,683",,491,,206,North Central
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"6,071",,140,,207,North East
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"5,077",,110,,208,Port Phillip and Western Port
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"6,716",,318,,209,West Gippsland
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"92,315",,299,,210,Wimmera
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"18,517",,245,,301,Burnett Mary
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),445,,1,,302,Cape York
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"66,884",,320,0,303,Condamine
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),62,,3,,305,Desert Channels
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"61,352",,203,,306,Fitzroy Basin
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"30,238",0,143,,307,North Queensland Dry Tropics
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),265,,21,,308,Northern Gulf
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"182,687",,388,,309,Queensland Murray Darling Basin
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"6,332",,91,,310,Reef Catchments
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"1,788",,129,,311,South East Queensland
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"2,358",,9,,312,South West Queensland
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),198,,6,,313,Southern Gulf
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"5,887",,109,,314,Terrain NRM
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"9,945",,137,,401,Adelaide and Mount Lofty Ranges
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"163,081",,242,,403,Eyre Peninsula
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"1,253",,22,,404,Kangaroo Island
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"92,702",,307,,405,Northern and Yorke
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"172,565",,472,,407,South Australian Murray Darling Basin
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"38,436",,355,,408,South East
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"202,779",,259,,501,Northern Agricultural
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"25,347",,86,,502,Peel-Harvey
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),64,,19,,503,Perth
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"3,019",0,22,,504,Rangelands
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"170,896",,139,,505,South Coast
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"75,740",,264,,506,South West
LMCULTNUMAHA1_F,Crop and pasture management - Pasture and crop land cultivated - One cultivation - Total area (ha),"4,151",,143,,601,Cradle Coast
