Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"7,990",,172,,101,Central Tablelands
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"86,202",,288,,102,Central West
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),694,,50,,103,Greater Sydney
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"2,954",,100,,104,Hunter
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"27,609",,109,,105,Murray
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"4,153",,173,0,106,North Coast
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"82,652",,236,,108,North West NSW
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"2,557",,30,,109,Northern Tablelands
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"1,533",,50,,111,South East NSW
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"17,800",,21,,112,Western
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"6,757",,87,,201,Corangamite
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"3,254",0,20,,202,East Gippsland
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"7,084",,94,,203,Glenelg Hopkins
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"1,721",,51,,204,Goulburn Broken
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"50,928",,48,,205,Mallee
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"25,563",,210,,206,North Central
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"1,394",,52,,207,North East
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"3,586",,86,,208,Port Phillip and Western Port
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"3,523",,80,,209,West Gippsland
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"6,925",,59,,210,Wimmera
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"27,837",,499,,301,Burnett Mary
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),30,0,1,0,302,Cape York
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"100,226",,501,0,303,Condamine
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),44,,1,,305,Desert Channels
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"47,889",,108,,306,Fitzroy Basin
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"19,309",,158,,307,North Queensland Dry Tropics
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),748,0,7,,308,Northern Gulf
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"86,294",,162,,309,Queensland Murray Darling Basin
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"9,081",,346,0,310,Reef Catchments
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"9,949",,225,,311,South East Queensland
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"12,442",,461,0,314,Terrain NRM
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),906,,37,,401,Adelaide and Mount Lofty Ranges
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"7,147",,16,,403,Eyre Peninsula
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),116,0,3,,404,Kangaroo Island
LMCULTNUMAHA3_F,Crop and pasture management - Pasture and crop land cultivated - Three or more cultivations - Total area (ha),"2,358",,15,,405,Northern and Yorke
