Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"39,279",0,474,0,101,Central Tablelands
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"179,508",0,883,0,102,Central West
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"2,270",0,69,0,103,Greater Sydney
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"27,102",0,408,0,104,Hunter
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"96,736",0,723,0,105,Murray
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"32,855",0,444,0,106,North Coast
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"146,544",0,525,0,108,North West NSW
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"60,735",0,578,0,109,Northern Tablelands
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"43,161",0,559,0,111,South East NSW
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"16,583",0,55,0,112,Western
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"37,130",0,600,0,201,Corangamite
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"4,326",0,89,0,202,East Gippsland
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"82,384",0,940,0,203,Glenelg Hopkins
LMPASTCULTPAAHA_F,Crop and pasture management - Pasture land cultivated - Total area cultivated - Area (ha) (a),"83,516",0,952,0,204,Goulburn Broken
