Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"5,172",,97,,101,Central Tablelands
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"39,995",,285,,102,Central West
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),671,,31,,103,Greater Sydney
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"4,167",,97,,104,Hunter
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"17,685",,182,,105,Murray
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"9,310",,257,,106,North Coast
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"37,532",,213,,108,North West NSW
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"16,973",,156,,109,Northern Tablelands
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"6,859",,165,,111,South East NSW
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"2,294",,27,,112,Western
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"4,156",,134,,201,Corangamite
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"1,215",0,20,,202,East Gippsland
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"6,222",,135,,203,Glenelg Hopkins
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"26,702",,403,,204,Goulburn Broken
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"6,391",,35,,205,Mallee
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"25,143",,268,,206,North Central
LMCROPSOWU6AHA_F,Crop management - Crop land sown to pasture for less than six months of the year (ha),"10,935",,72,,207,North East
