Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"2,919",,66,,101,Central Tablelands
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"19,035",,128,,102,Central West
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),119,,36,,103,Greater Sydney
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),218,,16,,104,Hunter
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"8,366",,111,,105,Murray
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),224,,30,,106,North Coast
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"14,022",,99,,108,North West NSW
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"3,077",,31,,109,Northern Tablelands
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,885",,22,,111,South East NSW
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"2,715",,41,,112,Western
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),242,,9,,201,Corangamite
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),720,0,10,,202,East Gippsland
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),243,,22,,203,Glenelg Hopkins
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),177,,6,,204,Goulburn Broken
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"4,096",,55,,205,Mallee
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"13,678",,120,,206,North Central
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),157,,7,,207,North East
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),131,,19,,208,Port Phillip and Western Port
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,471",,33,,209,West Gippsland
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"2,042",,21,,210,Wimmera
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"10,198",,92,,301,Burnett Mary
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"3,327",,21,,303,Condamine
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"3,179",,14,,306,Fitzroy Basin
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),884,,6,0,307,North Queensland Dry Tropics
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),79,,4,,308,Northern Gulf
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),664,,9,,309,Queensland Murray Darling Basin
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),320,,21,,310,Reef Catchments
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),954,,36,,311,South East Queensland
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"3,723",,44,,314,Terrain NRM
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"2,682",,139,,401,Adelaide and Mount Lofty Ranges
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),590,,8,,403,Eyre Peninsula
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),37,,1,,404,Kangaroo Island
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,030",,26,,405,Northern and Yorke
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"9,504",,125,,407,South Australian Murray Darling Basin
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"6,871",,101,,408,South East
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,356",,11,,501,Northern Agricultural
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),251,0,2,0,504,Rangelands
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,197",,13,,505,South Coast
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,350",,49,,506,South West
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),700,0,9,0,601,Cradle Coast
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),"1,026",,22,,602,North
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),689,,14,,603,South
LMINTCROPAHACO_F,Crop management - Intercropping practices - Cover cropping - Area (ha),606,,6,,701,Northern Territory
