Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"2,796",,58,,101,Central Tablelands
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"13,996",,94,,102,Central West
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),221,,10,,103,Greater Sydney
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"5,020",,71,,104,Hunter
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"4,354",,54,,105,Murray
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"2,174",,76,,106,North Coast
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"5,953",,55,,108,North West NSW
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"8,406",,83,,109,Northern Tablelands
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"4,929",,79,,111,South East NSW
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),143,,3,,112,Western
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"1,809",,96,,201,Corangamite
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),373,,8,,202,East Gippsland
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"1,236",,34,,203,Glenelg Hopkins
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"17,988",,165,,204,Goulburn Broken
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"11,613",,22,,205,Mallee
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"8,531",,77,,206,North Central
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"3,841",,29,,207,North East
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),392,,18,,208,Port Phillip and Western Port
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"4,486",,104,,209,West Gippsland
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"3,451",,37,,210,Wimmera
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),983,,28,,301,Burnett Mary
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"2,179",,37,,303,Condamine
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),5,0,1,0,305,Desert Channels
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"3,587",,19,,306,Fitzroy Basin
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),81,,5,,307,North Queensland Dry Tropics
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"3,945",,14,,309,Queensland Murray Darling Basin
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),718,,29,,311,South East Queensland
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),461,,7,,314,Terrain NRM
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),334,,15,,401,Adelaide and Mount Lofty Ranges
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"9,315",,14,,403,Eyre Peninsula
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),279,,4,,404,Kangaroo Island
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"5,094",,30,,405,Northern and Yorke
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"40,268",,66,,407,South Australian Murray Darling Basin
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"5,292",,102,,408,South East
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"1,530",,23,,501,Northern Agricultural
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"1,077",,9,,502,Peel-Harvey
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),316,,2,,503,Perth
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),308,,5,,504,Rangelands
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"5,653",,27,,505,South Coast
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),"3,536",,35,,506,South West
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),495,,17,,601,Cradle Coast
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),725,,32,,602,North
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),259,,13,,603,South
LMINTCROPAHAPA_F,Crop management - Intercropping practices - Pasture cropping - Area (ha),227,,3,,701,Northern Territory
