Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"24,325",,213,,101,Central Tablelands
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"199,555",,627,0,102,Central West
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"1,297",,22,,104,Hunter
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"159,303",0,542,0,105,Murray
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"4,211",,90,,106,North Coast
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"82,846",,198,,108,North West NSW
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"3,110",,59,,109,Northern Tablelands
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"5,979",,59,,111,South East NSW
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"12,477",,9,,112,Western
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"43,374",,180,,201,Corangamite
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),55,,4,,202,East Gippsland
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"66,163",,301,,203,Glenelg Hopkins
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"51,540",,291,,204,Goulburn Broken
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"32,088",,131,,205,Mallee
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"70,158",,366,,206,North Central
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"5,827",,44,,207,North East
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"2,546",,13,,208,Port Phillip and Western Port
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"2,193",,11,,209,West Gippsland
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"104,988",,488,,210,Wimmera
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"5,173",,69,,301,Burnett Mary
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"2,094",,37,,303,Condamine
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),605,,7,,306,Fitzroy Basin
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"17,326",,149,,307,North Queensland Dry Tropics
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),2,0,1,0,308,Northern Gulf
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"14,514",,31,,309,Queensland Murray Darling Basin
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"1,149",,60,,310,Reef Catchments
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),10,,8,,311,South East Queensland
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"2,284",,95,,314,Terrain NRM
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"6,860",,77,,401,Adelaide and Mount Lofty Ranges
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"60,397",,194,,403,Eyre Peninsula
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),945,,10,,404,Kangaroo Island
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"73,854",,347,,405,Northern and Yorke
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"23,901",,121,,407,South Australian Murray Darling Basin
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"16,962",,176,,408,South East
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"240,405",,185,,501,Northern Agricultural
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"14,957",,48,,502,Peel-Harvey
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"1,768",0,2,0,504,Rangelands
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"85,187",,166,,505,South Coast
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"110,323",,331,,506,South West
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),534,,27,,601,Cradle Coast
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"2,702",0,49,,602,North
LMCRSTMCMBAHA_F,Crop stubble and/or trash management - Cool-moderate burn - Total area (ha),"1,759",,18,,603,South
