Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"37,425",,374,,101,Central Tablelands
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"158,498",,560,,102,Central West
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),47,,3,,103,Greater Sydney
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"4,627",,53,,104,Hunter
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"83,877",,322,,105,Murray
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),371,,10,,106,North Coast
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"81,125",,438,,108,North West NSW
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"17,126",,113,,109,Northern Tablelands
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"17,403",,160,,111,South East NSW
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"42,770",,54,,112,Western
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"15,839",,133,,201,Corangamite
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),427,,8,,202,East Gippsland
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"10,546",,169,,203,Glenelg Hopkins
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"13,780",,122,,204,Goulburn Broken
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"155,536",,198,,205,Mallee
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"88,959",,448,,206,North Central
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"1,542",,32,,207,North East
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"2,630",,32,,208,Port Phillip and Western Port
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"7,580",,35,,209,West Gippsland
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"46,757",,155,,210,Wimmera
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"6,054",,116,,301,Burnett Mary
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),135,,1,,302,Cape York
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"34,579",,339,0,303,Condamine
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),130,,2,,305,Desert Channels
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"30,752",,114,,306,Fitzroy Basin
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"4,414",,9,,307,North Queensland Dry Tropics
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"64,942",,193,,309,Queensland Murray Darling Basin
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),614,,6,,310,Reef Catchments
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),334,,14,,311,South East Queensland
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),620,0,2,0,312,South West Queensland
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),141,0,1,0,313,Southern Gulf
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),318,,10,,314,Terrain NRM
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"13,049",,77,,401,Adelaide and Mount Lofty Ranges
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"315,363",,317,0,403,Eyre Peninsula
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"3,082",,28,,404,Kangaroo Island
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"247,355",,487,,405,Northern and Yorke
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"185,589",,340,,407,South Australian Murray Darling Basin
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"48,240",,207,,408,South East
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"247,931",,231,,501,Northern Agricultural
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"34,767",,80,,502,Peel-Harvey
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"269,952",,254,,505,South Coast
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"107,309",,205,,506,South West
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),24,,3,,601,Cradle Coast
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"5,001",,51,,602,North
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),800,,23,,603,South
LMCRSTMGROAHA_F,Crop stubble and/or trash management - Grazed off - Total area (ha),"1,217",,2,,701,Northern Territory
