Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),964,,20,,101,Central Tablelands
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"19,452",,54,,102,Central West
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"19,176",,57,,105,Murray
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"2,812",,36,,106,North Coast
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"32,501",,28,,108,North West NSW
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"2,318",,7,,109,Northern Tablelands
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"3,764",,18,,111,South East NSW
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),31,,1,,201,Corangamite
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),484,,3,,202,East Gippsland
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"1,868",,15,,203,Glenelg Hopkins
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"3,517",,38,,204,Goulburn Broken
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"15,397",,18,,205,Mallee
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"6,387",,50,,206,North Central
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),140,,4,,207,North East
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),513,,3,,208,Port Phillip and Western Port
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"11,570",,38,,210,Wimmera
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"8,771",,82,,301,Burnett Mary
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"3,070",,8,,303,Condamine
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"3,664",,5,,306,Fitzroy Basin
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"1,987",,19,,307,North Queensland Dry Tropics
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"3,429",,8,,308,Northern Gulf
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"6,803",,14,,309,Queensland Murray Darling Basin
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"21,898",,198,0,310,Reef Catchments
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),24,0,1,0,311,South East Queensland
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"18,294",,153,,314,Terrain NRM
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"1,551",0,4,,401,Adelaide and Mount Lofty Ranges
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"33,394",,28,,403,Eyre Peninsula
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"40,232",,59,,405,Northern and Yorke
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"5,531",,23,,407,South Australian Murray Darling Basin
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"6,848",,29,,408,South East
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"15,240",,19,,501,Northern Agricultural
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"8,732",0,8,,502,Peel-Harvey
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"53,291",,51,,505,South Coast
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),"25,118",,39,,506,South West
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),20,,2,,601,Cradle Coast
LMCRSTMOTHAHA_F,Crop stubble and/or trash management - Other practice - Total area (ha),38,,7,,603,South
