Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"10,660",,37,,102,Central West
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"4,511",,19,,105,Murray
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),804,,23,,106,North Coast
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),503,,7,,111,South East NSW
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"2,002",,21,,203,Glenelg Hopkins
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"2,986",,12,,204,Goulburn Broken
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),984,,30,,206,North Central
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),546,,4,,207,North East
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),963,,15,,210,Wimmera
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"1,966",,10,,301,Burnett Mary
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),25,,1,,303,Condamine
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),14,,5,,307,North Queensland Dry Tropics
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),115,,1,,309,Queensland Murray Darling Basin
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),232,,7,,310,Reef Catchments
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),842,,11,,314,Terrain NRM
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),490,0,1,0,401,Adelaide and Mount Lofty Ranges
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"9,052",,29,,403,Eyre Peninsula
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"5,060",,54,,405,Northern and Yorke
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"1,151",,1,,407,South Australian Murray Darling Basin
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"77,351",,42,,501,Northern Agricultural
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),111,,2,,502,Peel-Harvey
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"32,022",,38,,505,South Coast
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),"2,999",,16,,506,South West
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),17,,1,,602,North
LMCRSTMWDLAHA_F,Crop stubble and/or trash management - Windrowed and left - Total area (ha),18,,1,,603,South
