Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,105,Murray
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,106,North Coast
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,204,Goulburn Broken
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,205,Mallee
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,206,North Central
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,301,Burnett Mary
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,307,North Queensland Dry Tropics
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,308,Northern Gulf
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,311,South East Queensland
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),"1,311,994",,17,,314,Terrain NRM
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,401,Adelaide and Mount Lofty Ranges
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,408,South East
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,501,Northern Agricultural
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),"1,906,408",,35,,505,South Coast
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,506,South West
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,603,South
LMFINHIBALT_F,Fertiliser - Fertiliser containing nitrification inhibitor - Volume applied (L),np,0,,0,701,Northern Territory
