Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"7,836",,35,,101,Central Tablelands
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"15,784",,36,,102,Central West
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),670,,68,,103,Greater Sydney
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"1,510",,51,,104,Hunter
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"5,717",,25,,105,Murray
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"8,167",,232,,106,North Coast
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"81,839",,80,,108,North West NSW
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"8,991",,31,,109,Northern Tablelands
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"8,982",,21,,111,South East NSW
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"8,909",,29,,112,Western
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"20,693",,85,,201,Corangamite
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"2,920",,15,,202,East Gippsland
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"16,656",,95,,203,Glenelg Hopkins
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"3,163",,50,,204,Goulburn Broken
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"49,704",,66,,205,Mallee
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"10,500",,83,,206,North Central
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"1,148",,33,,207,North East
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"3,032",,103,,208,Port Phillip and Western Port
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"7,362",,92,,209,West Gippsland
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"11,822",,59,,210,Wimmera
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"9,019",,163,,301,Burnett Mary
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"22,519",,88,,303,Condamine
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),np,0,,0,305,Desert Channels
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"14,786",,51,,306,Fitzroy Basin
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"4,825",,,0,307,North Queensland Dry Tropics
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),np,0,,0,308,Northern Gulf
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"10,063",,38,,309,Queensland Murray Darling Basin
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"6,925",,72,,310,Reef Catchments
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"2,387",,98,,311,South East Queensland
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"25,058",,309,,314,Terrain NRM
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),np,0,95,,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"32,458",,8,,403,Eyre Peninsula
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),np,0,4,,404,Kangaroo Island
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"8,922",,20,,405,Northern and Yorke
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"17,275",,80,,407,South Australian Murray Darling Basin
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"32,852",,110,,408,South East
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"102,620",,86,,501,Northern Agricultural
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"16,554",,47,,502,Peel-Harvey
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),524,,39,,503,Perth
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"3,853",0,32,,504,Rangelands
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"151,966",,143,,505,South Coast
AGFERTTYPEAHAAOF_F,Fertiliser - Fertiliser use - All other fertilisers - Area applied to (ha),"101,315",,228,,506,South West
