Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,101,Central Tablelands
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,102,Central West
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,103,Greater Sydney
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,104,Hunter
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"171,415",,16,,105,Murray
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"2,806",,14,,106,North Coast
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"778,031",0,26,,108,North West NSW
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,111,South East NSW
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"122,933",,6,,112,Western
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"1,945",,18,,201,Corangamite
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,202,East Gippsland
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"3,888",,5,,204,Goulburn Broken
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"203,432",,32,,205,Mallee
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"75,474",,14,,206,North Central
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,207,North East
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,210,Wimmera
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"279,835",,17,,301,Burnett Mary
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"9,973",,10,,303,Condamine
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,305,Desert Channels
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"207,559",,15,,306,Fitzroy Basin
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,308,Northern Gulf
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,5,,309,Queensland Murray Darling Basin
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"2,747,823",,17,,310,Reef Catchments
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),231,,,0,311,South East Queensland
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"1,464,857",,32,,314,Terrain NRM
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,401,Adelaide and Mount Lofty Ranges
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,404,Kangaroo Island
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,405,Northern and Yorke
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"80,023",,26,,407,South Australian Murray Darling Basin
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"753,033",,48,,408,South East
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"9,943",,7,,501,Northern Agricultural
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,502,Peel-Harvey
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,503,Perth
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"1,344,198",,24,,505,South Coast
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"22,280",0,10,,506,South West
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,10,,601,Cradle Coast
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,602,North
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),np,0,,0,603,South
AGFERTTYPELTROTH_F,Fertiliser - Fertiliser use - All other fertilisers - Volume applied (L),"10,957",,10,,701,Northern Territory
