Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"85,705",,519,,101,Central Tablelands
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,098,424",0,,0,102,Central West
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,120",,45,,103,Greater Sydney
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"15,418",,132,,104,Hunter
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"634,325",0,,0,105,Murray
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"4,442",,154,0,106,North Coast
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"473,107",0,696,0,108,North West NSW
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"40,516",,215,,109,Northern Tablelands
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"42,167",,313,,111,South East NSW
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"131,379",,126,,112,Western
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"128,577",,394,,201,Corangamite
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"3,439",,70,,202,East Gippsland
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"222,871",,617,,203,Glenelg Hopkins
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"152,337",,669,,204,Goulburn Broken
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"700,520",,519,,205,Mallee
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"509,621",0,998,0,206,North Central
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"22,731",,201,,207,North East
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"28,561",,186,,208,Port Phillip and Western Port
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"30,177",,319,,209,West Gippsland
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"417,991",,591,,210,Wimmera
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"16,037",,265,,301,Burnett Mary
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),np,0,,0,302,Cape York
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"147,347",,340,0,303,Condamine
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),np,0,,0,304,Cooperative Management Area
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),np,0,,0,305,Desert Channels
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"62,847",,131,,306,Fitzroy Basin
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"40,706",0,65,,307,North Queensland Dry Tropics
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,266",,24,,308,Northern Gulf
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"267,475",,376,,309,Queensland Murray Darling Basin
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"5,795",,183,,310,Reef Catchments
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"3,090",,193,,311,South East Queensland
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),np,0,,0,312,South West Queensland
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"13,606",,185,,314,Terrain NRM
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"70,265",0,294,0,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"920,659",0,603,0,403,Eyre Peninsula
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"12,910",,38,,404,Kangaroo Island
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,035,424",0,,0,405,Northern and Yorke
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"610,944",0,958,0,407,South Australian Murray Darling Basin
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"162,044",,619,0,408,South East
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,006,760",0,582,0,501,Northern Agricultural
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"70,609",,107,,502,Peel-Harvey
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"1,091",,41,,503,Perth
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"7,650",0,33,,504,Rangelands
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"774,837",,320,,505,South Coast
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"208,722",,256,,506,South West
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"14,178",,180,,601,Cradle Coast
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"29,975",,176,,602,North
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"6,500",,62,,603,South
AGFERTTYPEAHAAMP_F,Fertiliser - Fertiliser use - Ammonium phosphates - Area applied to (ha),"4,111",,18,0,701,Northern Territory
