Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),923,,43,,101,Central Tablelands
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),"3,462",,35,,102,Central West
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,103,Greater Sydney
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),684,,8,,105,Murray
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),"15,355",,130,,108,North West NSW
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,111,South East NSW
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,11,,112,Western
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,201,Corangamite
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,206,North Central
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,207,North East
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),1,,6,,301,Burnett Mary
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),"8,985",,210,0,303,Condamine
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),379,,16,,306,Fitzroy Basin
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,307,North Queensland Dry Tropics
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),"1,455",,36,,309,Queensland Murray Darling Basin
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,310,Reef Catchments
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,311,South East Queensland
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,314,Terrain NRM
AGFERTTYPEATOANA_F,Fertiliser - Fertiliser use - Anhydrous ammonia - Weight applied (t),np,0,,0,602,North
