Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"2,136",,85,,101,Central Tablelands
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"77,941",,130,,102,Central West
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,,0,103,Greater Sydney
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,46,,104,Hunter
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"40,993",,110,,105,Murray
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"3,841",,63,,106,North Coast
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"22,675",,46,,108,North West NSW
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"29,665",,64,,109,Northern Tablelands
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"5,724",,42,,111,South East NSW
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"34,329",,,0,112,Western
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"38,074",,165,,201,Corangamite
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"3,043",,19,,202,East Gippsland
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"75,820",,228,,203,Glenelg Hopkins
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"14,116",,66,,204,Goulburn Broken
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"68,653",,113,,205,Mallee
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"97,245",,208,,206,North Central
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"10,659",,86,,207,North East
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"13,542",,236,,208,Port Phillip and Western Port
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"38,981",,347,,209,West Gippsland
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"133,258",,194,,210,Wimmera
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,,0,301,Burnett Mary
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"3,213",,23,,303,Condamine
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"1,090",,15,,306,Fitzroy Basin
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,,0,307,North Queensland Dry Tropics
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,,0,308,Northern Gulf
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"16,750",,31,,309,Queensland Murray Darling Basin
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,,0,310,Reef Catchments
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),444,,35,,311,South East Queensland
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,24,,314,Terrain NRM
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),np,0,,0,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"97,895",,106,,403,Eyre Peninsula
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"30,075",0,55,,404,Kangaroo Island
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"81,330",,121,,405,Northern and Yorke
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"100,870",,166,,407,South Australian Murray Darling Basin
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"52,539",,171,,408,South East
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"68,808",,118,,501,Northern Agricultural
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"13,523",,42,,502,Peel-Harvey
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"2,113",,9,,503,Perth
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),728,,14,,504,Rangelands
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"41,111",,33,,505,South Coast
AGFERTTYPEAHADTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Area applied to (ha),"47,302",,119,,506,South West
