Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,102,Central West
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,106,North Coast
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,207,North East
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,209,West Gippsland
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,301,Burnett Mary
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,401,Adelaide and Mount Lofty Ranges
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,404,Kangaroo Island
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,501,Northern Agricultural
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,502,Peel-Harvey
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,506,South West
AGFERTTYPELTRDTS_F,Fertiliser - Fertiliser use - Double and/or triple superphosphate - Volume applied (L),np,0,,0,602,North
