Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,102,Central West
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,106,North Coast
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,201,Corangamite
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),"2,497",,21,,204,Goulburn Broken
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,205,Mallee
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),"5,368",,33,,209,West Gippsland
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),163,,10,,301,Burnett Mary
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,303,Condamine
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,306,Fitzroy Basin
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,307,North Queensland Dry Tropics
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,309,Queensland Murray Darling Basin
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),"30,625",,7,,310,Reef Catchments
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,311,South East Queensland
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,314,Terrain NRM
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,405,Northern and Yorke
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,501,Northern Agricultural
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,502,Peel-Harvey
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,504,Rangelands
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),389,,10,,505,South Coast
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,506,South West
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,601,Cradle Coast
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,602,North
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,603,South
AGFERTTYPELTRPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Volume applied (L),np,0,,0,701,Northern Territory
