Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),452,,31,,101,Central Tablelands
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,8,,102,Central West
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,13,,103,Greater Sydney
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),476,,82,,104,Hunter
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),565,,28,,105,Murray
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"1,371",,178,,106,North Coast
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"1,352",,19,,108,North West NSW
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),183,,13,,109,Northern Tablelands
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"1,426",,90,,111,South East NSW
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),154,,21,,112,Western
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"5,507",,112,,201,Corangamite
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"1,402",,79,,202,East Gippsland
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"12,662",,498,,203,Glenelg Hopkins
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"2,007",,49,,204,Goulburn Broken
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),301,0,,0,205,Mallee
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),957,,76,,206,North Central
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,38,,207,North East
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"2,200",,166,,208,Port Phillip and Western Port
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"12,553",,348,,209,West Gippsland
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,,0,210,Wimmera
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"2,987",,325,,301,Burnett Mary
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,,0,302,Cape York
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),866,,61,,303,Condamine
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,,0,304,Cooperative Management Area
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),930,,45,,306,Fitzroy Basin
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),496,0,,0,307,North Queensland Dry Tropics
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,29,,308,Northern Gulf
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"1,652",,42,,309,Queensland Murray Darling Basin
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"2,262",,39,,310,Reef Catchments
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"1,170",0,204,,311,South East Queensland
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"9,707",,229,,314,Terrain NRM
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,55,,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),np,0,,0,403,Eyre Peninsula
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),511,,,0,405,Northern and Yorke
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"2,851",0,68,,407,South Australian Murray Darling Basin
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"4,176",,156,,408,South East
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"19,614",,311,,501,Northern Agricultural
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"3,331",,109,,502,Peel-Harvey
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),105,,36,,503,Perth
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),509,,39,,504,Rangelands
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"10,521",,257,,505,South Coast
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"10,546",,409,,506,South West
AGFERTTYPEATOPOT_F,Fertiliser - Fertiliser use - Muriate of potash and/or sulphate of potash - Weight applied (t),"4,436",,144,,601,Cradle Coast
