Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),"34,536",,11,,102,Central West
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,106,North Coast
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,109,Northern Tablelands
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,111,South East NSW
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,201,Corangamite
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,204,Goulburn Broken
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,31,,205,Mallee
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,206,North Central
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,207,North East
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,21,,208,Port Phillip and Western Port
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,209,West Gippsland
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,210,Wimmera
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,12,,301,Burnett Mary
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),"72,273",,13,,303,Condamine
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,304,Cooperative Management Area
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,308,Northern Gulf
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,309,Queensland Murray Darling Basin
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),"14,497",,8,,310,Reef Catchments
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,10,,314,Terrain NRM
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,401,Adelaide and Mount Lofty Ranges
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,20,,403,Eyre Peninsula
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,407,South Australian Murray Darling Basin
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,501,Northern Agricultural
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,504,Rangelands
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,505,South Coast
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,506,South West
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,602,North
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,4,,603,South
AGFERTTYPELTROPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Volume applied (L),np,0,,0,701,Northern Territory
