Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"2,343",,83,,101,Central Tablelands
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"10,498",,189,,102,Central West
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),22,,18,,103,Greater Sydney
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,738",,91,,104,Hunter
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"6,021",,108,,105,Murray
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"3,786",,210,,106,North Coast
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"15,033",,223,,108,North West NSW
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"8,504",,155,,109,Northern Tablelands
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"2,488",,71,,111,South East NSW
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),835,,17,,112,Western
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"9,122",,68,,201,Corangamite
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,549",,25,,202,East Gippsland
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"10,937",,368,,203,Glenelg Hopkins
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"3,911",,111,,204,Goulburn Broken
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"10,425",,101,,205,Mallee
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"4,761",,166,,206,North Central
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,484",,62,,207,North East
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"2,362",,115,,208,Port Phillip and Western Port
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"22,885",,476,,209,West Gippsland
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,869",,65,,210,Wimmera
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,367",,92,,301,Burnett Mary
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),np,0,,0,302,Cape York
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"2,963",,141,,303,Condamine
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),np,0,,0,304,Cooperative Management Area
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),np,0,,0,305,Desert Channels
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,686",,61,,306,Fitzroy Basin
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),467,,16,,307,North Queensland Dry Tropics
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),261,0,19,,308,Northern Gulf
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"6,723",,98,,309,Queensland Murray Darling Basin
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),581,,40,,310,Reef Catchments
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),830,,65,,311,South East Queensland
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,435",,79,,314,Terrain NRM
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,660",,114,,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"6,890",,60,,403,Eyre Peninsula
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"1,406",,24,,404,Kangaroo Island
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"10,832",,182,,405,Northern and Yorke
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"7,590",,198,,407,South Australian Murray Darling Basin
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"5,615",,97,,408,South East
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"29,439",,221,,501,Northern Agricultural
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"5,674",,82,,502,Peel-Harvey
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),62,,19,,503,Perth
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),166,,22,,504,Rangelands
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"31,767",,386,,505,South Coast
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"22,567",,380,,506,South West
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"5,711",,171,,601,Cradle Coast
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),"7,310",0,126,,602,North
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),924,,68,,603,South
AGFERTTYPEATOOPH_F,Fertiliser - Fertiliser use - Other phosphorus-based fertilisers - Weight applied (t),239,,22,0,701,Northern Territory
