Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,101,Central Tablelands
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,102,Central West
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,105,Murray
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,106,North Coast
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,111,South East NSW
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,63,,203,Glenelg Hopkins
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,204,Goulburn Broken
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,207,North East
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,301,Burnett Mary
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,310,Reef Catchments
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,403,Eyre Peninsula
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,408,South East
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,502,Peel-Harvey
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,17,,505,South Coast
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),"1,964",,16,,506,South West
AGFERTTYPELTRSSP_F,Fertiliser - Fertiliser use - Single superphosphate - Volume applied (L),np,0,,0,602,North
