Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"40,344",,22,,101,Central Tablelands
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"3,595,675",,34,,102,Central West
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"894,322",,40,,105,Murray
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"36,036",,32,,106,North Coast
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"4,100,833",,29,,108,North West NSW
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,109,Northern Tablelands
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,111,South East NSW
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"888,293",,70,,112,Western
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"15,236",,10,,201,Corangamite
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,202,East Gippsland
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"84,281",,9,,203,Glenelg Hopkins
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"307,423",,65,,204,Goulburn Broken
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"1,296,626",,57,,205,Mallee
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"827,258",,25,,206,North Central
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,207,North East
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,8,,209,West Gippsland
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"711,689",,30,,210,Wimmera
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"496,179",0,19,,301,Burnett Mary
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"156,730",,10,,303,Condamine
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),"473,230",,19,,306,Fitzroy Basin
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,307,North Queensland Dry Tropics
AGFERTTYPEALOUAN_F,Fertiliser - Fertiliser use - Urea ammonium nitrate - Volume applied (L),np,0,,0,308,Northern Gulf
