Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"43,040",,278,,101,Central Tablelands
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"512,096",0,887,0,102,Central West
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"2,478",,138,,103,Greater Sydney
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"45,889",,341,,104,Hunter
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"572,502",0,947,0,105,Murray
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"26,943",,631,,106,North Coast
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"732,615",0,,0,108,North West NSW
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"66,057",,338,,109,Northern Tablelands
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"38,287",,376,,111,South East NSW
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"47,098",,143,,112,Western
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"170,114",,670,0,201,Corangamite
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"4,549",,43,,202,East Gippsland
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"273,327",,879,,203,Glenelg Hopkins
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"168,899",,734,,204,Goulburn Broken
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"413,982",,475,,205,Mallee
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"402,921",0,813,0,206,North Central
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"29,335",,201,,207,North East
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"44,273",,294,,208,Port Phillip and Western Port
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"99,456",,595,,209,West Gippsland
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"251,692",,510,,210,Wimmera
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"30,147",,516,0,301,Burnett Mary
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),np,0,,0,302,Cape York
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"296,070",,885,0,303,Condamine
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),np,0,,0,305,Desert Channels
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"116,546",0,369,,306,Fitzroy Basin
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"34,160",0,273,,307,North Queensland Dry Tropics
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"1,389",,29,,308,Northern Gulf
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"291,168",,412,,309,Queensland Murray Darling Basin
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"16,785",,198,,310,Reef Catchments
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"21,922",,502,,311,South East Queensland
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),np,0,,0,313,Southern Gulf
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"45,348",,470,0,314,Terrain NRM
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"57,988",0,304,0,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"499,756",0,456,0,403,Eyre Peninsula
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),np,0,,0,404,Kangaroo Island
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"689,468",0,940,0,405,Northern and Yorke
AGFERTTYPEAHAURE_F,Fertiliser - Fertiliser use - Urea - Area applied to (ha),"307,022",0,638,,407,South Australian Murray Darling Basin
