Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"27,602",,12,,101,Central Tablelands
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,8,,102,Central West
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,103,Greater Sydney
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,104,Hunter
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"2,059",,22,,105,Murray
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"2,072",,20,,106,North Coast
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"1,769,355",0,23,,108,North West NSW
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,109,Northern Tablelands
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,111,South East NSW
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,112,Western
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,201,Corangamite
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,202,East Gippsland
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,203,Glenelg Hopkins
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,204,Goulburn Broken
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"244,303",,28,,205,Mallee
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"68,222",,14,,206,North Central
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,207,North East
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,208,Port Phillip and Western Port
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,209,West Gippsland
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"144,712",,27,,301,Burnett Mary
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,309,Queensland Murray Darling Basin
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,17,,310,Reef Catchments
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"234,787",,,0,314,Terrain NRM
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"7,720",,15,,401,Adelaide and Mount Lofty Ranges
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,405,Northern and Yorke
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"161,111",,20,,407,South Australian Murray Darling Basin
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,408,South East
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,501,Northern Agricultural
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,502,Peel-Harvey
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,503,Perth
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),"5,191",,12,,505,South Coast
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,10,,506,South West
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,601,Cradle Coast
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,,0,602,North
AGFERTTYPEALOURA_F,Fertiliser - Fertiliser use - Urea - Volume applied (L),np,0,11,,603,South
