Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),435,,55,,101,Central Tablelands
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,298",,68,,102,Central West
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),714,,106,,103,Greater Sydney
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),54,,16,,104,Hunter
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"15,929",0,276,,105,Murray
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),395,,73,,106,North Coast
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"3,730",0,47,,108,North West NSW
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),703,0,10,,109,Northern Tablelands
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),585,,17,,111,South East NSW
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"10,045",0,106,,112,Western
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"2,831",,32,,201,Corangamite
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),529,0,12,,202,East Gippsland
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),178,,23,,203,Glenelg Hopkins
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"4,388",,150,,204,Goulburn Broken
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"8,169",,101,,205,Mallee
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"6,043",,159,,206,North Central
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),252,,24,,207,North East
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"2,615",,131,,208,Port Phillip and Western Port
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"2,153",,76,,209,West Gippsland
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),346,,17,,210,Wimmera
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"4,841",,209,,301,Burnett Mary
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),np,0,,0,302,Cape York
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"2,649",,116,,303,Condamine
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),np,0,,0,304,Cooperative Management Area
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),224,,4,,305,Desert Channels
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,253",,53,,306,Fitzroy Basin
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,567",,60,,307,North Queensland Dry Tropics
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),930,,67,,308,Northern Gulf
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,479",,73,,309,Queensland Murray Darling Basin
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),30,,8,,310,Reef Catchments
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"2,717",0,182,,311,South East Queensland
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"7,626",,127,,314,Terrain NRM
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,858",,218,,401,Adelaide and Mount Lofty Ranges
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),np,0,,0,404,Kangaroo Island
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"2,408",,,0,405,Northern and Yorke
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"8,908",0,390,,407,South Australian Murray Darling Basin
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),np,0,43,,408,South East
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"1,396",0,28,0,501,Northern Agricultural
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),876,0,,0,502,Peel-Harvey
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),642,,51,,503,Perth
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"3,411",0,54,,504,Rangelands
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),np,0,14,,505,South Coast
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"5,525",,152,,506,South West
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"3,470",,122,0,601,Cradle Coast
LMFCROPATOOTI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other irrigated crops - Weight applied (t),"6,458",0,159,0,602,North
