Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"51,920",,285,,101,Central Tablelands
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"811,100",0,958,0,102,Central West
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),np,0,8,,103,Greater Sydney
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"10,112",,52,,104,Hunter
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"455,591",0,565,0,105,Murray
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),np,0,179,,106,North Coast
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"574,293",0,694,0,108,North West NSW
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"55,929",,158,,109,Northern Tablelands
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"22,298",,137,,111,South East NSW
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"90,234",,44,,112,Western
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"54,252",,165,,201,Corangamite
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"1,573",,17,,202,East Gippsland
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"145,291",,337,,203,Glenelg Hopkins
LMFCROPAHAOTNI_F,Fertiliser - Nitrogen-based fertiliser - Land applied to - Other non-irrigated crops - Area fertilised (ha),"63,292",,286,,204,Goulburn Broken
