Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"4,521",,58,,101,Central Tablelands
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"34,268",,99,,102,Central West
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),501,,77,,103,Greater Sydney
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"10,190",,86,,104,Hunter
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"28,984",,106,,105,Murray
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"6,678",,185,,106,North Coast
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"32,524",,74,,108,North West NSW
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"18,813",,67,,109,Northern Tablelands
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"4,294",,41,,111,South East NSW
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"1,072",,20,,112,Western
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"13,444",,49,,201,Corangamite
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"1,972",,18,,202,East Gippsland
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"24,357",,74,,203,Glenelg Hopkins
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"8,564",,69,,204,Goulburn Broken
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"80,069",,84,,205,Mallee
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"45,813",,127,,206,North Central
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),494,,45,,207,North East
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),np,0,121,,208,Port Phillip and Western Port
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"6,194",,64,,209,West Gippsland
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),np,0,45,,210,Wimmera
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"5,324",,198,,301,Burnett Mary
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),np,0,,0,302,Cape York
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"9,885",,54,,303,Condamine
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"3,075",,,0,306,Fitzroy Basin
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"2,452",,42,,307,North Queensland Dry Tropics
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),np,0,28,,308,Northern Gulf
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"5,205",,45,,309,Queensland Murray Darling Basin
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"4,414",,61,,310,Reef Catchments
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"1,405",,104,,311,South East Queensland
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"6,447",,95,,314,Terrain NRM
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),np,0,54,,401,Adelaide and Mount Lofty Ranges
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"46,919",,28,,403,Eyre Peninsula
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),np,0,,0,404,Kangaroo Island
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"51,565",,61,,405,Northern and Yorke
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"47,989",,120,,407,South Australian Murray Darling Basin
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"2,245",,,0,408,South East
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"53,608",,48,,501,Northern Agricultural
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"13,272",,28,,502,Peel-Harvey
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),182,,65,,503,Perth
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),147,,17,,504,Rangelands
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"42,148",,80,,505,South Coast
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"21,366",,117,,506,South West
LMSLFERTAHAOT_F,Fertiliser - Other slow release fertiliser - Area applied to (ha),"1,201",,22,,601,Cradle Coast
