Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,549,398",0,,0,101,Central Tablelands
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"6,743,163",0,,0,102,Central West
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"61,726",0,,0,103,Greater Sydney
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,066,521",,,0,104,Hunter
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"3,022,187",0,,0,105,Murray
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"645,813",,,0,106,North Coast
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"5,763,825",0,,0,108,North West NSW
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,627,359",0,,0,109,Northern Tablelands
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,588,482",0,,0,111,South East NSW
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"24,034,799",0,,0,112,Western
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"705,488",0,,0,201,Corangamite
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"213,972",,505,0,202,East Gippsland
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,466,865",0,,0,203,Glenelg Hopkins
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"974,854",,,0,204,Goulburn Broken
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"2,018,571",0,,0,205,Mallee
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,831,671",0,,0,206,North Central
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"580,193",,,0,207,North East
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"230,771",0,,0,208,Port Phillip and Western Port
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"518,580",0,,0,209,West Gippsland
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,419,603",0,,0,210,Wimmera
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"3,116,897",0,,0,301,Burnett Mary
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"2,452,401",0,38,0,302,Cape York
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,475,082",0,,0,303,Condamine
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"1,593,127",,24,,304,Cooperative Management Area
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"42,486,619",0,638,0,305,Desert Channels
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"14,141,585",0,,0,306,Fitzroy Basin
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"12,268,553",,,0,307,North Queensland Dry Tropics
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"11,699,281",0,325,0,308,Northern Gulf
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"8,483,660",0,,0,309,Queensland Murray Darling Basin
AGPRODAGLAHA_F,Land use - Land mainly used for agricultural production - Total area (ha),"611,391",,,0,310,Reef Catchments
