Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"156,239",,924,0,101,Central Tablelands
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"2,237,170",0,,0,102,Central West
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"13,612",,864,0,103,Greater Sydney
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"35,726",,476,,104,Hunter
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"1,037,179",0,,0,105,Murray
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"64,033",0,,0,106,North Coast
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"2,504,479",0,,0,108,North West NSW
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"106,914",,392,,109,Northern Tablelands
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"88,658",,536,,111,South East NSW
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"499,388",,430,0,112,Western
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"189,465",,615,0,201,Corangamite
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"8,322",0,78,,202,East Gippsland
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"245,586",,696,,203,Glenelg Hopkins
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"229,275",,,0,204,Goulburn Broken
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"1,715,377",0,,0,205,Mallee
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"955,319",0,,0,206,North Central
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"33,501",,337,0,207,North East
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"49,868",,989,0,208,Port Phillip and Western Port
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"28,304",,272,,209,West Gippsland
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"874,360",0,,0,210,Wimmera
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"155,772",0,,0,301,Burnett Mary
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"2,057",,8,0,302,Cape York
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"678,196",0,,0,303,Condamine
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"1,775",,5,,304,Cooperative Management Area
AGPROD_AHACRP_F,Land use - Land mainly used for crops - Area (ha) (d),"69,190",,16,,305,Desert Channels
