Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"1,820",,19,,101,Central Tablelands
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),19,,20,,103,Greater Sydney
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),569,,20,,104,Hunter
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"12,872",,84,,105,Murray
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"15,307",,96,,106,North Coast
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"4,344",,18,,108,North West NSW
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"11,974",,34,,109,Northern Tablelands
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"3,040",,89,,111,South East NSW
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),34,,12,,112,Western
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"1,144",,93,,201,Corangamite
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),54,,9,,202,East Gippsland
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"12,570",,153,,203,Glenelg Hopkins
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),362,,93,,204,Goulburn Broken
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),4,,4,,205,Mallee
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),891,,106,,206,North Central
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),385,,51,,207,North East
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),156,,24,,208,Port Phillip and Western Port
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"2,514",0,44,,209,West Gippsland
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),160,,11,,210,Wimmera
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"4,036",,70,,301,Burnett Mary
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),35,,19,,303,Condamine
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),38,,3,,304,Cooperative Management Area
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"15,173",,6,,306,Fitzroy Basin
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),18,,6,,307,North Queensland Dry Tropics
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),13,,5,,308,Northern Gulf
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),12,,2,,309,Queensland Murray Darling Basin
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),6,,5,,310,Reef Catchments
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),80,,5,,311,South East Queensland
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),191,,46,,314,Terrain NRM
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),439,,58,,401,Adelaide and Mount Lofty Ranges
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),16,,4,,403,Eyre Peninsula
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),39,,4,,404,Kangaroo Island
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),365,,17,,405,Northern and Yorke
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),163,,29,,407,South Australian Murray Darling Basin
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"3,015",,87,,408,South East
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"3,267",,49,,501,Northern Agricultural
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"3,304",,15,,502,Peel-Harvey
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),776,,11,,504,Rangelands
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"23,702",,231,,505,South Coast
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"17,021",,261,,506,South West
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"2,124",,68,,601,Cradle Coast
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"15,961",,204,,602,North
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"10,784",,36,,603,South
AGPRODFORPLAAHA_F,Land use - Land mainly used for forestry - Plantation forest - Area (ha),"1,328",,6,,701,Northern Territory
