Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"20,145",0,151,0,101,Central Tablelands
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"13,258",0,61,0,102,Central West
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),169,0,38,0,103,Greater Sydney
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"4,228",0,106,0,104,Hunter
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"31,293",0,176,0,105,Murray
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"80,046",0,365,0,106,North Coast
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"37,735",0,122,0,108,North West NSW
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"38,135",0,151,0,109,Northern Tablelands
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"12,495",0,207,0,111,South East NSW
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"63,995",0,31,0,112,Western
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"1,813",0,98,0,201,Corangamite
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"1,569",0,24,0,202,East Gippsland
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"16,011",0,255,0,203,Glenelg Hopkins
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"3,129",0,174,0,204,Goulburn Broken
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),226,0,8,0,205,Mallee
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"2,854",0,202,0,206,North Central
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"3,012",0,120,0,207,North East
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),252,0,70,0,208,Port Phillip and Western Port
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"4,793",0,77,0,209,West Gippsland
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"10,281",0,63,0,210,Wimmera
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"89,719",0,248,0,301,Burnett Mary
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),820,0,2,0,302,Cape York
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"7,295",0,64,0,303,Condamine
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),38,0,3,0,304,Cooperative Management Area
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"24,199",0,4,0,305,Desert Channels
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"45,451",0,29,0,306,Fitzroy Basin
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),212,0,14,0,307,North Queensland Dry Tropics
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"1,172",0,11,0,308,Northern Gulf
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"19,398",0,51,0,309,Queensland Murray Darling Basin
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"2,605",0,20,0,310,Reef Catchments
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"3,037",0,58,0,311,South East Queensland
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"1,103",0,108,0,314,Terrain NRM
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),854,0,76,0,401,Adelaide and Mount Lofty Ranges
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),944,0,8,0,403,Eyre Peninsula
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"1,589",0,17,0,404,Kangaroo Island
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),448,0,27,0,405,Northern and Yorke
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"1,649",0,101,0,407,South Australian Murray Darling Basin
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"4,916",0,106,0,408,South East
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"9,929",0,72,0,501,Northern Agricultural
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"10,295",0,29,0,502,Peel-Harvey
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),10,0,3,0,503,Perth
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),776,0,11,0,504,Rangelands
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"28,724",0,243,0,505,South Coast
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"21,678",0,368,0,506,South West
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"6,314",0,141,0,601,Cradle Coast
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"46,272",0,245,0,602,North
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"55,753",0,55,0,603,South
AGPROD_AHAFOR_F,Land use - Land mainly used for forestry - Total area (ha),"4,317",0,11,0,701,Northern Territory
