Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),206,,39,,101,Central Tablelands
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"3,045",,81,,102,Central West
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"1,398",,205,,103,Greater Sydney
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"1,929",,138,,104,Hunter
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"4,364",,57,,105,Murray
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"3,946",,128,,106,North Coast
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"2,095",0,83,,108,North West NSW
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),323,,10,,109,Northern Tablelands
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),695,,23,,111,South East NSW
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),6,,3,,112,Western
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"1,234",,44,,201,Corangamite
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),89,,7,,202,East Gippsland
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),308,,61,,203,Glenelg Hopkins
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"2,061",,117,,204,Goulburn Broken
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),493,,58,,205,Mallee
AGPROD_AHAOTH_F,Land use - Land mainly used for other agricultural purposes - Area (ha) (g),"6,367",,231,,206,North Central
