Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"68,638",,,0,101,Central Tablelands
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"324,965",,,0,102,Central West
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"9,711",,888,0,103,Greater Sydney
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"94,779",,988,0,104,Hunter
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"128,192",0,,0,105,Murray
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"63,917",,,0,106,North Coast
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"260,146",0,,0,108,North West NSW
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"110,604",,983,0,109,Northern Tablelands
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"116,448",,,0,111,South East NSW
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"791,523",,523,0,112,Western
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"38,114",,,0,201,Corangamite
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"24,831",0,312,,202,East Gippsland
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"52,286",,,0,203,Glenelg Hopkins
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"56,585",,,0,204,Goulburn Broken
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"81,901",,963,0,205,Mallee
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"58,661",0,,0,206,North Central
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"37,426",,962,0,207,North East
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"16,525",,,0,208,Port Phillip and Western Port
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"34,013",,,0,209,West Gippsland
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"56,224",,,0,210,Wimmera
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"142,753",,,0,301,Burnett Mary
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"135,837",,28,0,302,Cape York
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"71,225",,,0,303,Condamine
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"17,285",,16,,304,Cooperative Management Area
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"1,688,207",,273,0,305,Desert Channels
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"536,263",,,0,306,Fitzroy Basin
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"318,507",,893,0,307,North Queensland Dry Tropics
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"804,027",,217,0,308,Northern Gulf
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"424,483",,,0,309,Queensland Murray Darling Basin
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"79,107",,960,0,310,Reef Catchments
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"33,237",,,0,311,South East Queensland
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"230,630",,161,,312,South West Queensland
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"289,474",,123,,313,Southern Gulf
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"32,066",0,,0,314,Terrain NRM
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"21,497",0,,0,401,Adelaide and Mount Lofty Ranges
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"364,900",0,929,0,403,Eyre Peninsula
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"31,571",0,174,0,404,Kangaroo Island
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"78,426",,,0,405,Northern and Yorke
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"245,349",,,0,407,South Australian Murray Darling Basin
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"128,966",,,0,408,South East
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"531,189",0,,0,501,Northern Agricultural
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"45,614",,457,0,502,Peel-Harvey
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"4,839",,241,0,503,Perth
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"821,549",,218,0,504,Rangelands
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"472,758",,,0,505,South Coast
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"220,769",,,0,506,South West
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"29,105",0,718,0,601,Cradle Coast
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"111,470",,716,0,602,North
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"67,729",,437,0,603,South
AGNONPRODAHA_F,Land use - Land not used for agricultural production - Total area (ha),"3,153,928",0,232,0,701,Northern Territory
