Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"325,473",,638,,101,Central Tablelands
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"834,390",,,0,102,Central West
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"1,797",,44,,103,Greater Sydney
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"42,694",,336,,104,Hunter
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"293,814",,584,0,105,Murray
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"35,622",,306,,106,North Coast
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"280,635",,450,,108,North West NSW
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"152,997",,337,,109,Northern Tablelands
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"293,050",,554,,111,South East NSW
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"155,822",,21,,112,Western
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"124,215",,594,,201,Corangamite
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"25,667",,60,,202,East Gippsland
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"284,532",,717,,203,Glenelg Hopkins
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"186,171",,901,,204,Goulburn Broken
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"14,309",,37,,205,Mallee
LMPASTANNPERAHA_F,Pasture management - Area mix of annual and perennial pasture - Area (ha),"252,538",,805,0,206,North Central
