Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"65,967",,815,0,101,Central Tablelands
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"198,025",,894,0,102,Central West
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"5,366",0,467,0,103,Greater Sydney
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"29,662",,418,,104,Hunter
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"253,817",0,,0,105,Murray
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"54,510",,996,0,106,North Coast
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"117,698",,655,0,108,North West NSW
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"43,371",,401,,109,Northern Tablelands
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"78,130",,770,,111,South East NSW
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"17,980",,124,,112,Western
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"78,771",,795,0,201,Corangamite
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"14,483",,184,,202,East Gippsland
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"137,249",,978,0,203,Glenelg Hopkins
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"95,244",,,,204,Goulburn Broken
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"51,549",,403,,205,Mallee
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"169,233",,,0,206,North Central
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"36,261",,460,0,207,North East
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"32,723",,942,,208,Port Phillip and Western Port
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"71,616",,911,,209,West Gippsland
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"135,472",,733,,210,Wimmera
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"65,021",,828,0,301,Burnett Mary
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),217,,7,,302,Cape York
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"66,344",,418,0,303,Condamine
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),np,0,,0,304,Cooperative Management Area
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),192,,4,,305,Desert Channels
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"26,636",,302,,306,Fitzroy Basin
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"48,949",,447,,307,North Queensland Dry Tropics
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"4,475",,110,,308,Northern Gulf
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"58,740",,430,,309,Queensland Murray Darling Basin
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"75,269",0,743,0,310,Reef Catchments
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"22,746",,805,,311,South East Queensland
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),np,0,,0,312,South West Queensland
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),np,0,,0,313,Southern Gulf
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"38,099",0,,0,314,Terrain NRM
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"32,767",,696,0,401,Adelaide and Mount Lofty Ranges
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"92,248",,250,,403,Eyre Peninsula
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),np,0,,0,404,Kangaroo Island
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"91,177",,509,,405,Northern and Yorke
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"36,257",0,580,,407,South Australian Murray Darling Basin
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"79,022",,615,,408,South East
LMSOILENHAHA_F,Soil management - Soil enhancer use - All soil enhancers - Area applied to (ha),"537,675",0,758,0,501,Northern Agricultural
