Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"171,631",,801,0,101,Central Tablelands
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"190,580",,869,0,102,Central West
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"38,846",,460,0,103,Greater Sydney
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"81,522",,415,,104,Hunter
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"267,004",0,994,0,105,Murray
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"150,664",,965,0,106,North Coast
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"182,374",,631,0,108,North West NSW
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"68,701",,368,,109,Northern Tablelands
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"75,327",,759,,111,South East NSW
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"61,943",,104,,112,Western
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"148,289",,748,,201,Corangamite
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"23,977",,183,,202,East Gippsland
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"223,690",,977,0,203,Glenelg Hopkins
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"178,982",,,,204,Goulburn Broken
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"134,442",,358,,205,Mallee
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"298,918",,,0,206,North Central
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"27,002",,415,,207,North East
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"88,240",,892,,208,Port Phillip and Western Port
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"110,985",,895,,209,West Gippsland
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"150,440",,707,,210,Wimmera
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"308,608",,805,0,301,Burnett Mary
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),447,0,6,,302,Cape York
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"383,953",,387,0,303,Condamine
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),np,0,,0,304,Cooperative Management Area
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"1,477",,4,,305,Desert Channels
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"107,489",,276,,306,Fitzroy Basin
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"196,885",,388,,307,North Queensland Dry Tropics
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"24,756",,106,,308,Northern Gulf
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"216,229",,416,,309,Queensland Murray Darling Basin
LMSOILENHATO_F,Soil management - Soil enhancer use - All soil enhancers - Weight applied (t),"177,270",,449,0,310,Reef Catchments
