Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,101,Central Tablelands
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,104,Hunter
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,105,Murray
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),85,,8,,106,North Coast
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,109,Northern Tablelands
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,112,Western
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,201,Corangamite
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,301,Burnett Mary
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,311,South East Queensland
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,401,Adelaide and Mount Lofty Ranges
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,405,Northern and Yorke
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),651,,30,,407,South Australian Murray Darling Basin
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,408,South East
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),"1,370",,15,,506,South West
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,603,South
LMSOILENHAHABI_F,Soil management - Soil enhancer use - Biochar - Area applied to (ha),np,0,,0,701,Northern Territory
