Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"6,124",,60,,101,Central Tablelands
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"8,704",,21,,102,Central West
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),503,,67,,103,Greater Sydney
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"1,188",,51,,104,Hunter
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"5,897",,72,,105,Murray
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"4,066",,216,,106,North Coast
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"9,768",,109,,108,North West NSW
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),752,,18,,109,Northern Tablelands
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),788,,61,,111,South East NSW
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"7,408",,55,,112,Western
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"6,846",,108,,201,Corangamite
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),471,,16,,202,East Gippsland
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"17,913",,118,,203,Glenelg Hopkins
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"4,751",,157,,204,Goulburn Broken
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"6,745",,104,,205,Mallee
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"11,735",,101,,206,North Central
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),166,,28,,207,North East
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"3,873",,119,,208,Port Phillip and Western Port
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"11,239",,155,,209,West Gippsland
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"3,801",,27,,210,Wimmera
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"6,348",,121,,301,Burnett Mary
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"15,802",,107,,303,Condamine
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),np,0,,0,305,Desert Channels
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"2,247",,17,,306,Fitzroy Basin
LMSOILENHAHACO_F,Soil management - Soil enhancer use - Compost - Area applied to (ha),"4,264",,56,,307,North Queensland Dry Tropics
