Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"4,393",,60,,101,Central Tablelands
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"6,616",,21,,102,Central West
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"7,262",,67,,103,Greater Sydney
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"3,690",,51,,104,Hunter
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"38,070",,71,,105,Murray
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"36,188",,213,,106,North Coast
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"33,944",,109,,108,North West NSW
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"7,742",,18,,109,Northern Tablelands
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"1,812",,61,,111,South East NSW
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"40,523",0,55,,112,Western
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"28,175",,108,,201,Corangamite
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"1,318",,16,,202,East Gippsland
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"33,445",,118,,203,Glenelg Hopkins
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"26,893",,157,,204,Goulburn Broken
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"47,876",,104,,205,Mallee
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"54,084",,96,,206,North Central
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),907,,28,,207,North East
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"23,416",,119,,208,Port Phillip and Western Port
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"21,751",,155,,209,West Gippsland
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"2,184",,27,,210,Wimmera
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"57,166",0,120,,301,Burnett Mary
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"118,432",,107,,303,Condamine
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,,0,305,Desert Channels
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"10,076",,17,,306,Fitzroy Basin
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"26,792",,54,,307,North Queensland Dry Tropics
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,,0,308,Northern Gulf
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"60,251",,63,,309,Queensland Murray Darling Basin
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,17,,310,Reef Catchments
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"28,034",,126,,311,South East Queensland
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,,0,312,South West Queensland
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"32,045",,47,,314,Terrain NRM
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"22,109",,296,,401,Adelaide and Mount Lofty Ranges
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,,0,403,Eyre Peninsula
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,,0,404,Kangaroo Island
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"11,653",,51,,405,Northern and Yorke
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"36,886",,159,,407,South Australian Murray Darling Basin
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"12,397",,84,,408,South East
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"26,576",,42,,501,Northern Agricultural
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,9,,502,Peel-Harvey
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,29,,503,Perth
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),np,0,,0,504,Rangelands
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"3,742",0,,0,505,South Coast
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"9,900",,137,,506,South West
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"4,930",,23,,601,Cradle Coast
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),"6,002",,38,,602,North
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),189,,12,,603,South
LMSOILENHATOCO_F,Soil management - Soil enhancer use - Compost - Weight applied (t),128,,5,,701,Northern Territory
