Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,101,Central Tablelands
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,102,Central West
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,19,,105,Murray
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),855,,12,,106,North Coast
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,201,Corangamite
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,203,Glenelg Hopkins
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,205,Mallee
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,206,North Central
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),"3,289",,14,,301,Burnett Mary
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,306,Fitzroy Basin
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,12,,307,North Queensland Dry Tropics
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,308,Northern Gulf
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,309,Queensland Murray Darling Basin
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,310,Reef Catchments
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,311,South East Queensland
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,314,Terrain NRM
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,401,Adelaide and Mount Lofty Ranges
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,403,Eyre Peninsula
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,405,Northern and Yorke
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,407,South Australian Murray Darling Basin
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,408,South East
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,502,Peel-Harvey
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,503,Perth
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,504,Rangelands
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,505,South Coast
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,506,South West
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),np,0,,0,603,South
LMSOILENHALTGY_F,Soil management - Soil enhancer use - Gypsum - Volume applied (L),"14,684",,,0,701,Northern Territory
