Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"2,411",,77,,101,Central Tablelands
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"42,368",,284,,102,Central West
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,0,18,,103,Greater Sydney
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,0,81,,104,Hunter
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"83,826",0,451,0,105,Murray
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),685,,70,,106,North Coast
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"70,168",,182,,108,North West NSW
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"4,586",,129,,109,Northern Tablelands
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"6,243",,155,,111,South East NSW
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"9,627",,39,,112,Western
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"13,332",,115,,201,Corangamite
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,0,6,,202,East Gippsland
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"13,756",,199,,203,Glenelg Hopkins
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"18,393",,276,,204,Goulburn Broken
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"57,525",,144,,205,Mallee
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"57,120",,476,,206,North Central
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"2,437",,62,,207,North East
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"10,754",,200,,208,Port Phillip and Western Port
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,0,235,,209,West Gippsland
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"127,313",,562,,210,Wimmera
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"18,335",0,278,,301,Burnett Mary
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,0,,0,302,Cape York
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"4,748",,82,,303,Condamine
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),np,0,,0,304,Cooperative Management Area
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"4,624",,47,,306,Fitzroy Basin
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"39,204",,230,,307,North Queensland Dry Tropics
LMSOILENHATOGY_F,Soil management - Soil enhancer use - Gypsum - Weight applied (t),"1,908",,46,,308,Northern Gulf
